,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.676079401206572,0.18307729373186185,1.8519076746237122,5
1,1,B,1.5614648390526975,0.7412130190813249,2.496783969659445,5
2,2,C,0.36499011837626905,0.11502797458301513,1.3019932518189887,2
3,3,D,0.6043155046892924,0.38591610928815984,1.3688314081841544,6
4,4,E,0.7393506578737264,0.5773712403618252,1.2182006306665272,3
5,5,F,1.3843303651413421,0.32521669086634,7.486281447612574,7
6,6,G,1.1347638804211475,0.7331521521858695,1.3314162461450239,1
7,7,H,0.9218188197385927,0.2913013184995545,3.206693171422071,1
8,8,I,0.7900947762160615,0.3271161289192849,2.959954891720899,7
9,9,J,1.4183255384526972,0.3636390800084239,3.1340054623387386,5
10,10,K,0.3132499789895147,0.033212866138388364,4.556721030599336,4
11,11,L,1.663909489540658,0.5659216987645378,3.3728911723687887,2
