,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.6730778678262284,0.12985763139542503,1.9412533809964585,1
1,1,B,1.3238476794697205,1.0502000320772282,1.8885702465186236,7
2,2,C,0.6503023241292305,0.14889041663366254,1.138222854724474,7
3,3,D,0.9098312608533733,0.22266784761830766,1.6806383204034796,5
4,4,E,1.0390416503029454,0.48396086916323655,0.7854200323816805,4
5,5,F,1.0270008279840759,0.28414655588299204,5.722919832531716,4
6,6,G,0.9970670582833305,0.8942819514261756,1.331887907447891,4
7,7,H,1.0922959303974944,0.377204778192441,3.6440508697612115,1
8,8,I,1.1582254509625347,0.3202585762629937,2.6207405559848316,4
9,9,J,0.9560795734928632,0.34279075255430314,3.210839982512781,4
10,10,K,0.35957078073719284,0.041268502131819366,3.2946846528308735,5
11,11,L,1.760954132981235,0.5006272835755256,4.1336914369321756,1
