,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.4093160081233543,0.20220047367225272,2.0953073902303267,6
1,1,B,1.232890091033762,1.0062490742942474,1.6555971752655212,7
2,2,C,0.5535509442272148,0.14360071043564426,1.0321557950443603,3
3,3,D,0.7551208770200685,0.22732379108922998,1.5283818960872337,7
4,4,E,1.0785341644886266,0.7044546194635612,0.8721167435886561,3
5,5,F,1.3968245646335407,0.30402515151832865,7.939931379276967,6
6,6,G,0.6724943421173261,0.5757262463718278,1.5969065020043136,5
7,7,H,0.878809663657102,0.4816471319849115,2.8599969857095435,6
8,8,I,1.0314540641078664,0.4257483136048874,2.1310586757598835,6
9,9,J,1.0748212577280942,0.38770642113501114,2.8948979509516706,4
10,10,K,0.34672631812007776,0.03927365679565003,2.301911742924713,3
11,11,L,1.342840823526587,0.6980272847895376,3.7610065112917592,6
