,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.5819656825961823,0.11410538216183637,2.0807248084365524,4
1,1,B,1.1448678872488356,0.9154927505159451,2.0691992412131017,2
2,2,C,0.4967139088618201,0.13423302603167134,1.243832334159476,5
3,3,D,0.6633978249277996,0.2237111255307137,1.711463969395251,7
4,4,E,1.2016081781497365,0.4906773354299161,1.320991197985532,2
5,5,F,1.196709970699242,0.23761878051546204,5.9145490064549096,5
6,6,G,0.5882370760676836,0.9472435000098034,1.538107841435285,2
7,7,H,0.5925072088641793,0.38809725344388535,3.2527585054448296,6
8,8,I,1.06980615276659,0.42563017143796955,3.574664351388124,4
9,9,J,1.0334547035554604,0.26986937498424673,2.6887675377311258,3
10,10,K,0.3313486533271181,0.045767301910554545,2.377169376109166,2
11,11,L,0.9805595962091284,0.7053688658837641,2.732312252827577,6
