,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.4920924218460853,0.21733591928647217,1.3545520817473826,5
1,1,B,1.5687200261287846,0.6655043866571078,1.2529316142129874,4
2,2,C,0.4630893601379577,0.21821640068760598,0.9858938106835623,7
3,3,D,0.5708871604402799,0.3092578433271319,1.3591459060823161,6
4,4,E,0.7768485164746813,0.805945481429712,1.6972678827806056,6
5,5,F,0.7670466489822307,0.3269292567901891,4.4384135028952345,3
6,6,G,0.8217325309131749,0.8056728836014108,1.2167955939003505,6
7,7,H,1.2157922343614551,0.4395379985246521,1.7969911453726586,1
8,8,I,0.9184004740043747,0.5295520823118655,2.7508082943703527,6
9,9,J,0.6598267916255244,0.39734713397284177,2.5467192973616224,4
10,10,K,0.3100491520656055,0.05042297664762752,3.034447270433496,1
11,11,L,0.9780804363287304,0.8680545760919234,4.8226863848148085,2
