,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.7068206477533754,0.18512186602429256,2.7069850126616024,4
1,1,B,1.3637475248509763,0.7501129373211806,2.188794185819773,1
2,2,C,0.49397068435475694,0.215301014698152,1.149802327952854,6
3,3,D,0.7656740894494563,0.31022945938266666,1.0676167742041687,4
4,4,E,0.9405533389171364,0.8279949588108699,0.9115094244116054,5
5,5,F,1.0584670145076622,0.3825625241150543,5.442335926003664,2
6,6,G,0.9260050972067482,0.5315278886917618,1.6551156286787196,1
7,7,H,0.9788320113898251,0.43625093220185795,1.7061703705304525,5
8,8,I,1.1426663291865229,0.48800978413173524,2.6996595059853754,4
9,9,J,1.3640877525239943,0.43496219970976524,3.2974213059294586,7
10,10,K,0.37539396069760567,0.03820917517260227,1.9688462841589616,1
11,11,L,1.5986898139223276,0.6680346905302792,4.080385535077601,1
