,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.5648193945764721,0.21679664342947363,1.7105774192042125,4
1,1,B,1.1001197085990082,1.0815034896474063,1.8781749889781563,1
2,2,C,0.33382144848815914,0.13344010322926403,1.0875507872350052,5
3,3,D,0.7650856567427429,0.27391658648922435,1.6791795532059413,7
4,4,E,1.1089745376644315,0.7243602239643606,1.319883687294856,4
5,5,F,1.1101258737260025,0.4018414833136424,6.129072962368756,2
6,6,G,0.8742064492562245,0.8629407798944967,1.3878900315809164,4
7,7,H,0.8429413350176317,0.3942413924118582,2.1790483126585896,1
8,8,I,1.4878117364344634,0.36420039647723845,2.322793051329172,5
9,9,J,1.1036719855257415,0.5656869756996452,2.9798758123421085,6
10,10,K,0.3784707192410884,0.03486120132514215,4.312126324371494,4
11,11,L,1.7907905463294838,0.6962464876223126,2.908340990529428,3
