,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.5215558347689091,0.17729187751363998,2.066703935457655,1
1,1,B,1.2601080629001338,1.048910803950602,1.6697648253620634,5
2,2,C,0.38301235857892485,0.23924352087083509,0.786482220985111,4
3,3,D,0.5754583955004715,0.27217715887811283,1.0900271524227958,3
4,4,E,0.7380498266489172,0.5087224303680252,1.4265549344036568,7
5,5,F,1.2482304934748698,0.3980368372343915,7.277333737901891,2
6,6,G,0.8366978872821764,0.7470339137421393,1.2403617366705106,7
7,7,H,0.8731767376906266,0.2541717155497858,2.011075125531169,4
8,8,I,1.0350357938974843,0.38413455798843255,2.204632519598885,4
9,9,J,0.7065163928657667,0.4299722040069209,3.781508225096001,3
10,10,K,0.2147494622883342,0.03791581766349154,2.7531246226317223,6
11,11,L,1.6381832627200483,0.6404634203543792,3.9992014343008813,6
