,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.48838975161829506,0.2028717864403802,2.0079198943460534,5
1,1,B,1.1729788480569503,0.917811774349367,1.6303416982253036,1
2,2,C,0.35430812021192326,0.1465612339748433,1.388655961134839,5
3,3,D,0.8508593571166156,0.1732918024396067,1.0573778498020423,2
4,4,E,0.9270296457647245,0.4551851722577262,1.569145076541422,2
5,5,F,1.073934015910072,0.19117037300954545,6.646010020570327,1
6,6,G,0.8815960134654318,0.5560166403221919,1.2121145830192535,3
7,7,H,1.1793169202515592,0.38777866731402727,2.1993713858831536,1
8,8,I,1.4920690577773268,0.3111431505294666,3.004502256327401,5
9,9,J,1.1709999702687146,0.4303651570006378,3.1547186556189337,4
10,10,K,0.38445097421330165,0.04853361884788412,2.2447423184456676,3
11,11,L,1.0514809904879603,0.43598563093494813,3.355924178201913,6
