"Treatment","RR","CI_lower","CI_upper","se","WEIGHT","tau2","Reference"
"ADA",1.62822433465331,1.42835531854331,1.8560609181341,0.0668195919949938,14.9656705487654,0,"ETA"
"APRE",0.721682099868938,0.422730459345846,1.2320499783176,0.272882639309895,3.66457903855279,0,"ETA"
"BIME",2.84157971011043,2.50450176653924,3.22402457717921,0.0644236297572736,15.5222548584682,0,"ETA"
"BRODA",2.26270990416233,1.9607846061315,2.61112622691151,0.0730706455194546,13.6853861477624,0,"ETA"
"CERTO",1.24650571075266,0.945801556826576,1.64281447384412,0.140850361292233,7.09973329727726,0,"ETA"
"CICLO",0.658169242492093,0.122384168157453,3.53956527453209,0.85831484137468,1.16507364407028,0,"ETA"
"DEUCRAVA",1.31356033511674,0.185693315638138,9.29188402965661,0.998163301255805,1.00184007841391,0,"ETA"
"FUM",0.408871936092587,0.184374678779253,0.906720278679136,0.406342860941717,2.46097592974184,0,"ETA"
"GUSEL",2.262972938118,2.01480661193348,2.54170623042579,0.0592633630630398,16.873831458675,0,"ETA"
"IFX",4.70539539141311,1.93876617899054,11.4200185816423,0.452376543572441,2.21054785931858,0,"ETA"
"IXE",2.83436426180889,2.54482408674681,3.15684719052203,0.054977622073888,18.1892188544647,0,"ETA"
"MTX",0.651812779314279,0.131036245657662,3.2423082418537,0.81851194033673,1.2217292756763,0,"ETA"
"NETA",0.42153631141341,0.190043497454753,0.935011532727288,0.406455582588984,2.46029343140114,0,"ETA"
"PBO",0.0939163911097225,0.078337262197133,0.112593780682281,0.0925416072771065,10.8059502036268,0,"ETA"
"RISAN",2.69879041010684,2.35182405534879,3.0969449696374,0.0702104364971107,14.2428967813233,0,"ETA"
"SECU",2.46540582071209,2.20161153845862,2.76080759690081,0.0577381721467075,17.3195645587652,0,"ETA"
"SONELO",2.38624008468347,1.85525894477745,3.06918975261063,0.128415643710395,7.78721323279905,0,"ETA"
"TILDRA",1.74287340687718,1.39092275835721,2.18387951030963,0.115085588078317,8.68918529850576,0,"ETA"
"USK",1.77451392841594,1.58338223710927,1.98871732190896,0.0581445544810006,17.1985151305401,0,"ETA"
"ADA",0.917560752034663,0.83665290113141,1.00629273207071,0.0470966846923035,21.232917062704,0,"USK"
"APRE",0.406692834760201,0.237071286763979,0.697676484162145,0.275355770825921,3.63166530703363,0,"USK"
"BIME",1.6013284903585,1.48157499198455,1.73076148551823,0.0396570844381867,25.2161754744904,0,"USK"
"BRODA",1.27511532478203,1.16734741003907,1.39283222587488,0.045052357831409,22.1963965513661,0,"USK"
"CERTO",0.702449099323434,0.522626087446045,0.944144865694721,0.150870750862488,6.62818998568818,0,"USK"
"CICLO",0.370901141970536,0.0690701268586253,1.99170992398241,0.857557777368209,1.16610218738723,0,"USK"
"DEUCRAVA",0.74023670036184,0.104778199826479,5.2296219392014,0.997512381163533,1.00249382251633,0,"USK"
"ETA",0.563534601778344,0.502836672152131,0.631559440647553,0.0581445544810011,17.1985151305399,0,"USK"
"FUM",0.230413483684277,0.104228182877037,0.509366775837948,0.404741269503065,2.47071419533714,0,"USK"
"GUSEL",1.27526355351749,1.18167702329316,1.37626195557041,0.0388868521376109,25.7156325346482,0,"USK"
"IFX",2.65165311810964,1.0934676794302,6.4302442505155,0.4519537040573,2.21261600695548,0,"USK"
"IXE",1.59726233557324,1.46234223607194,1.74463056985478,0.0450263785427676,22.2092034128431,0,"USK"
"MTX",0.367319055024908,0.0739584536167667,1.82431191549148,0.817718026629265,1.2229154395949,0,"USK"
"NETA",0.237550297387468,0.10743270836411,0.525260366681084,0.404854437073873,2.47002356508083,0,"USK"
"PBO",0.0529251360644767,0.0447825576530848,0.0625482369529294,0.0852345216334482,11.7323354532393,0,"USK"
"RISAN",1.52086177904277,1.38491666946122,1.67015142640531,0.047774062611466,20.93186020483,0,"USK"
"SECU",1.389341487397,1.31263597359225,1.4705293831922,0.0289758039634728,34.5115532000634,0,"USK"
"SONELO",1.34472885586962,1.06636969503088,1.69574932993202,0.11833281995739,8.4507408879471,0,"USK"
"TILDRA",0.982169471294595,0.765255093915027,1.2605690285679,0.127323794294509,7.85399151463341,0,"USK"
"ADA",17.3369559393637,14.5696104824483,20.629929784707,0.0887257749725943,11.2706820572588,0,"PBO"
"APRE",7.68430399998864,4.48261062992745,13.172798808358,0.274986836862098,3.63653770271733,0,"PBO"
"BIME",30.2564832031356,25.4356873747379,35.9909587790747,0.0885496324540644,11.2931016457776,0,"PBO"
"BRODA",24.0928114616203,20.0468539323452,28.9553446183699,0.0937965745233753,10.6613701521774,0,"PBO"
"CERTO",13.2725043629112,9.63363684823182,18.2858638786897,0.163486602807619,6.11670915430753,0,"PBO"
"CICLO",7.00803379170686,1.31596040920703,37.320680228746,0.85331144246788,1.17190506330008,0,"PBO"
"DEUCRAVA",13.9864864864974,1.99395040945111,98.1076576978785,0.993864189362138,1.00617369123824,0,"PBO"
"ETA",10.6477685969822,8.8814852289383,12.7653171932858,0.0925416072771064,10.8059502036268,0,"PBO"
"FUM",4.35357376131396,2.00469956910355,9.45458600745694,0.395664721147677,2.52739237680673,0,"PBO"
"GUSEL",24.0956121863133,20.3549978665112,28.5236348557144,0.0860731019497498,11.6180313866672,0,"PBO"
"IFX",50.1019612850732,20.8793268397545,120.224494969422,0.446581954955028,2.23923064715121,0,"PBO"
"IXE",30.1796547792973,25.3640447802427,35.9095550606755,0.0886915322498338,11.2750335306319,0,"PBO"
"MTX",6.94035164269426,1.40966993482786,34.1700420319533,0.813263701019768,1.22961346823432,0,"PBO"
"NETA",4.48842109915541,2.06632412342249,9.74964369576994,0.395780484031641,2.52665313310409,0,"PBO"
"RISAN",28.7360957785723,24.0210514713442,34.3766467334026,0.0914405278801797,10.9360698497975,0,"PBO"
"SECU",26.2510706765952,22.245138658426,30.9783958755669,0.0844812644933563,11.836944037203,0,"PBO"
"SONELO",25.4081322385528,19.2265849617015,33.5771113350466,0.142232313734377,7.03075112641089,0,"PBO"
"TILDRA",18.5577127302621,14.0367245287816,24.5348336837973,0.142453269152344,7.01984591824683,0,"PBO"
"USK",18.8946136818947,15.9876608632878,22.3301225389281,0.0852345216334473,11.7323354532395,0,"PBO"
"ADA",0.660428527009411,0.607821065840864,0.717589211365067,0.0423512084832284,23.6120771003739,0,"SECU"
"APRE",0.292723450965364,0.170685559473278,0.502016802179959,0.275206775338336,3.63363147135681,0,"SECU"
"BIME",1.15258092044647,1.0819700059762,1.22780000447301,0.0322552281947833,31.0027259444946,0,"SECU"
"BRODA",0.917783954736016,0.826813962565569,1.01876289674303,0.0532562777329299,18.7771290553728,0,"SECU"
"CERTO",0.505598591631715,0.376302668180624,0.679320019429871,0.150688402626673,6.63621076717812,0,"SECU"
"CICLO",0.266961827121019,0.0497215546318952,1.43335456156625,0.857483237093881,1.16620355563932,0,"SECU"
"DEUCRAVA",0.53279680127361,0.0754252008396584,3.76362844629154,0.997448299886692,1.00255822794384,0,"SECU"
"ETA",0.405612735882634,0.362212854355576,0.454212735776319,0.0577381721467075,17.3195645587652,0,"SECU"
"FUM",0.165843664624144,0.0750430745118012,0.366511117446823,0.404583311088414,2.47167881766994,0,"SECU"
"GUSEL",0.917890644658404,0.862790961108729,0.976509112321641,0.0315846029738989,31.6609963666913,0,"SECU"
"IFX",1.90856829812061,0.787231483510367,4.62714338144611,0.451829754384036,2.21322299006905,0,"SECU"
"IXE",1.14965424272027,1.0550888604783,1.25269532009422,0.0437940037457336,22.8341762449025,0,"SECU"
"MTX",0.264383564700928,0.0532408964213781,1.31287551454342,0.817639854365453,1.22303235912598,0,"SECU"
"NETA",0.170980496546267,0.0773502887439849,0.377947266570243,0.404696522830029,2.47098737841144,0,"SECU"
"PBO",0.038093684342238,0.0322805610728448,0.0449536420228704,0.0844812644933559,11.836944037203,0,"SECU"
"RISAN",1.09466376181725,1.00046473708466,1.19773212090183,0.0459095000777587,21.7819840840406,0,"SECU"
"SONELO",0.967889369221271,0.772950360314436,1.21199223022608,0.114746409772199,8.71486961540025,0,"SECU"
"TILDRA",0.706931650860538,0.5510343599609,0.906935021300428,0.127110622377504,7.86716311584184,0,"SECU"
"USK",0.719765449366629,0.680027214301028,0.761825837565104,0.0289758039634721,34.5115532000643,0,"SECU"
"ADA",2.49799388156556,0.502596772783774,12.4154665732872,0.818089304746649,1.2223604369326,0,"MTX"
"APRE",1.107192314683,0.205805227886807,5.95648047564339,0.858496131525234,1.16482761340271,0,"MTX"
"BIME",4.35950291293741,0.877165501596639,21.6666816163152,0.818070219971439,1.22238895340172,0,"MTX"
"BRODA",3.47141077310996,0.697674728542284,17.2726519431806,0.818654777539768,1.22151611086325,0,"MTX"
"CERTO",1.91236770789308,0.37623421512013,9.72040846690276,0.829533433138137,1.20549692158517,0,"MTX"
"CICLO",1.0097519769166,0.608564056080744,1.6754178047474,0.258345834977535,3.87078042147246,0,"MTX"
"DEUCRAVA",2.01524176389827,0.162628238281488,24.9722890063557,1.28419775513463,0.778696268547177,0,"MTX"
