"Treatment","RR","CI_lower","CI_upper","se","WEIGHT","tau2","Reference"
"ADA",1.26467987032804,0.732655720706947,2.18303785694822,0.278519589748468,3.59041172257615,0,"ETA"
"APRE",1.07057367981655,0.556542107155271,2.05937338645283,0.333779133182157,2.99599316010644,0,"ETA"
"BIME",0.655484632452044,0.287874324555351,1.49252665740316,0.419821860762266,2.38196266908139,0,"ETA"
"BRODA",1.29529183987934,0.682688984902735,2.45760659328207,0.326761182672854,3.06033902748228,0,"ETA"
"CERTO",0.877426921516248,0.359616633183722,2.14082979362126,0.455079140478929,2.19741998929591,0,"ETA"
"CICLO",7.10847364525072,0.391567690050638,129.046391847829,1.47902266471942,0.676122160839034,0,"ETA"
"DEUCRAVA",0.763364428141597,0.0784806709259479,7.42507987351167,1.16065468284753,0.861582703949993,0,"ETA"
"FUM",1.0978752661923,0.436644002705933,2.76044121217112,0.470415199346264,2.12578165286687,0,"ETA"
"GUSEL",1.13498545441188,0.68098406408442,1.89166244801708,0.260630718989097,3.83684626232349,0,"ETA"
"IFX",1.48148941957042,0.659066612020548,3.33018068320942,0.413254395631192,2.41981697126931,0,"ETA"
"IXE",1.13865856898581,0.711240619893286,1.82293207173592,0.24009967220118,4.16493696485391,0,"ETA"
"MTX",0.100010992844436,0.0112265851368884,0.890938657460911,1.11581401523713,0.896206703217905,0,"ETA"
"NETA",0.988695796212499,0.0399825142250969,24.4486720356041,1.63670636882394,0.610983142149407,0,"ETA"
"PBO",1.25531039294396,0.846096976214435,1.8624392084268,0.201277634647523,4.96826188240535,0,"ETA"
"RISAN",0.916536952405542,0.517240487554037,1.6240801045898,0.291884928305433,3.42600765927038,0,"ETA"
"SECU",1.33447181514887,0.828555190144689,2.14930163567707,0.243167040447663,4.11239943603801,0,"ETA"
"SONELO",1.5494323074831,0.298811264388378,8.03430379502717,0.839710070553633,1.19088723008965,0,"ETA"
"TILDRA",0.997379358133362,0.457105921369747,2.17622554757033,0.398069417223418,2.51212466151035,0,"ETA"
"USK",1.21344752493295,0.749743592188595,1.96394462201088,0.245657913517743,4.07070134920678,0,"ETA"
"ADA",1.04222048695342,0.640811568746557,1.69507480264455,0.248149668623426,4.02982605436209,0,"USK"
"APRE",0.882257912121663,0.462579166112378,1.68269364580976,0.329421795079278,3.03562185300867,0,"USK"
"BIME",0.540183748356371,0.253003438560588,1.15333800856015,0.386992998279741,2.58402607914147,0,"USK"
"BRODA",1.06744775794974,0.607914869451118,1.87434914526884,0.287240280818258,3.48140587090123,0,"USK"
"CERTO",0.723086003710567,0.299827000670855,1.74385017891066,0.44914414548469,2.22645671785582,0,"USK"
"CICLO",5.85808079804974,0.3250076288144,105.588631139721,1.47537176772131,0.677795266168395,0,"USK"
