RR,TE_diamond,id,studlab,treat1,treat2,CI_lower,CI_upper,CI_lower_diamond,CI_upper_diamond,Predict_lo,Predict_up,WEIGHT,tau2,I2
0.742325581,0.683766975,1,Gordon_2015_X-PLORE,ADA,GUSEL,0.313393961,1.758321271,0.489168593,0.955779424,0.077978808,5.995696593,5.165975479,0,0
0.678485353,0.683766975,1,Blauvelt_2016_VOYAGE1,ADA,GUSEL,0.41269225,1.115461641,0.489168593,0.955779424,0.077978808,5.995696593,15.5418438,0,0
0.668587896,0.683766975,1,Reich_2017_VOYAGE-2,ADA,GUSEL,0.392498513,1.138882721,0.489168593,0.955779424,0.077978808,5.995696593,13.54055866,0,0
37.4137931,16.1034631,2,Asahina_2010,ADA,PBO,3.623932437,386.2632482,9.622514565,26.94945505,8.466971932,30.62742215,0.704881288,0,0
25.96774194,16.1034631,2,Gordon_2006,ADA,PBO,2.490910572,270.7137016,9.622514565,26.94945505,8.466971932,30.62742215,0.699043758,0,0
19.88370188,16.1034631,2,Menter_2008_REVEAL,ADA,PBO,6.429469215,61.49210571,9.622514565,26.94945505,8.466971932,30.62742215,3.013712566,0,0
18.55813953,16.1034631,2,Gordon_2015_X-PLORE,ADA,PBO,2.607058994,132.104622,9.622514565,26.94945505,8.466971932,30.62742215,0.997228444,0,0
16.13017751,16.1034631,2,Cai_2016,ADA,PBO,3.675722133,70.78408467,9.622514565,26.94945505,8.466971932,30.62742215,1.756279894,0,0
17.29580838,16.1034631,2,Blauvelt_2016_VOYAGE1,ADA,PBO,4.684371177,63.86022292,9.622514565,26.94945505,8.466971932,30.62742215,2.251413234,0,0
19.33333333,16.1034631,2,Reich_2017_VOYAGE-2,ADA,PBO,5.520573807,67.70632742,9.622514565,26.94945505,8.466971932,30.62742215,2.445412919,0,0
6.652686763,16.1034631,2,Elewski_2018,ADA,PBO,1.982001803,22.33007109,9.622514565,26.94945505,8.466971932,30.62742215,2.61981108,0,0
0.654031869,0.654031869,3,EUCTR2015-003623-65-DE  ,ADA,RISAN,0.389192279,1.099090883,0.389192279,1.099090883,NA,NA,14.25684056,NA,NA
0.705882353,0.705882353,4,Reich_2016_LIBERATE,APRE,ETA,0.223759041,2.226814591,0.223759041,2.226814591,NA,NA,2.910366836,NA,NA
27.59786477,8.490547039,5,Papp_2015_ESTEEM-1,APRE,PBO,3.863235583,197.1513576,3.787987904,19.03105048,2.289683203,31.48443808,0.993633146,0,0
6.021818182,8.490547039,5,Paul_2015_ESTEEM-2,APRE,PBO,1.130274081,32.08274421,3.787987904,19.03105048,2.289683203,31.48443808,1.372590911,0,0
10,8.490547039,5,Papp_2012b,APRE,PBO,1.357722089,73.65277535,3.787987904,19.03105048,2.289683203,31.48443808,0.963467717,0,0
4.048192771,8.490547039,5,Reich_2016_LIBERATE,APRE,PBO,0.857885871,19.1026164,3.787987904,19.03105048,2.289683203,31.48443808,1.595739397,0,0
11.85882353,8.490547039,5,Ohtsuki 2017  ,APRE,PBO,1.623372339,86.62935305,3.787987904,19.03105048,2.289683203,31.48443808,0.9714399,0,0
58.09352518,58.09352518,6,"Papp BE ABLE, 2018",BIME,PBO,5.683027838,593.8485195,5.683027838,593.8485195,NA,NA,0.710903913,NA,NA
57.98765432,36.79356248,7,Papp_2012,BRODA,PBO,5.666963727,593.3632569,18.85412884,71.80211037,12.42503927,108.954685,0.710288632,0,0
77.2972973,36.79356248,7,Papp_2016_AMAGINE-1,BRODA,PBO,14.90522622,400.8575301,18.85412884,71.80211037,12.42503927,108.954685,1.417961512,0,0
34.91891892,36.79356248,7,Nakagawa_2016,BRODA,PBO,4.977349455,244.9759474,18.85412884,71.80211037,12.42503927,108.954685,1.012184661,0,0
21.71078431,36.79356248,7,Lebwohl_2015_AMAGINE2,BRODA,PBO,7.262469137,64.90329206,18.85412884,71.80211037,12.42503927,108.954685,3.203296657,0,0
43.3125,36.79356248,7,Lebwohl_2015_AMAGINE3,BRODA,PBO,11.72543759,159.9916968,18.85412884,71.80211037,12.42503927,108.954685,2.249869185,0,0
1.494924211,1.469049418,8,Lebwohl_2015_AMAGINE2,BRODA,USK,0.901084575,2.480120576,1.029195269,2.096887011,NA,NA,14.98985952,0,0
1.444211409,1.469049418,8,Lebwohl_2015_AMAGINE3,BRODA,USK,0.875709899,2.381778025,1.029195269,2.096887011,NA,NA,15.34840418,0,0
1.258706468,1.258706468,9,"Lebwohl CIMPACT, 2018",CERTO,ETA,0.568440848,2.787171221,0.568440848,2.787171221,NA,NA,6.078894953,NA,NA
26.54237288,23.56890091,10,Reich_2012,CERTO,PBO,3.733645763,188.6889124,9.680731697,57.38131244,5.557515345,99.95349642,0.998579779,0,0
22.02272727,23.56890091,10,"Gottlieb CIMPASI-1, 2018",CERTO,PBO,3.109295687,155.9840444,9.680731697,57.38131244,5.557515345,99.95349642,1.002336005,0,0
13.51724138,23.56890091,10,"Gottlieb CIMPASI-2, 2018",CERTO,PBO,2.624886523,69.60903373,9.680731697,57.38131244,5.557515345,99.95349642,1.430132413,0,0
39.47761194,23.56890091,10,"Lebwohl CIMPACT, 2018",CERTO,PBO,3.844609222,405.3680763,9.680731697,57.38131244,5.557515345,99.95349642,0.708164533,0,0
40.12149533,23.56890091,10,NCT03051217,CERTO,PBO,3.936968349,408.8766392,9.680731697,57.38131244,5.557515345,99.95349642,0.712784643,0,0
2.145348837,1.155189548,11,Flystrom_2007,CICLO,MTX,0.494977602,9.298444237,0.471034772,2.833045399,NA,NA,1.68718641,0.032823236,0.071609685
0.823529412,1.155189548,11,Heydendael_2003,CICLO,MTX,0.285986474,2.371443248,0.471034772,2.833045399,NA,NA,3.086196533,0.032823236,0.071609685
0.108695652,0.108695652,12,deVries_2016_PIECE,ETA,IFX,0.015188552,0.777871703,0.015188552,0.777871703,NA,NA,0.991840104,NA,NA
0.264878807,0.321795051,13,Griffith_2015_UNCOVER2,ETA,IXE,0.136112832,0.515460455,0.206033517,0.502598104,NA,NA,8.666105984,0,0
0.376983334,0.321795051,13,Griffith_2015_UNCOVER3,ETA,IXE,0.206810662,0.687181369,0.206033517,0.502598104,NA,NA,10.65660211,0,0
13.4,13.60977902,14,Langley_2014_FIXTURE,ETA,PBO,3.562195995,50.40710849,8.678988864,21.34189682,8.253779387,22.44136609,2.188490838,0,0
15,13.60977902,14,Bagel_2012,ETA,PBO,2.07807003,108.2735407,8.678988864,21.34189682,8.253779387,22.44136609,0.983227322,0,0
36,13.60977902,14,Leonardi_2003,ETA,PBO,5.032028537,257.5502087,8.678988864,21.34189682,8.253779387,22.44136609,0.992156742,0,0
39.19211823,13.60977902,14,Papp_2005,ETA,PBO,5.478377588,280.3790185,8.678988864,21.34189682,8.253779387,22.44136609,0.992186072,0,0
16.14549839,13.60977902,14,Tyring_2006,ETA,PBO,3.988917026,65.35034863,8.678988864,21.34189682,8.253779387,22.44136609,1.965198177,0,0
6.229166667,13.60977902,14,Vandekerkhof_2008,ETA,PBO,0.858732282,45.18581422,8.678988864,21.34189682,8.253779387,22.44136609,0.97834092,0,0
34.71428571,13.60977902,14,Bachelez_2015,ETA,PBO,4.89711985,246.0796692,8.678988864,21.34189682,8.253779387,22.44136609,1.001491425,0,0
31.44134078,13.60977902,14,Griffith_2015_UNCOVER2,ETA,PBO,4.415577476,223.8796432,8.678988864,21.34189682,8.253779387,22.44136609,0.996924399,0,0
8.252181501,13.60977902,14,Griffith_2015_UNCOVER3,ETA,PBO,2.348269776,28.99943619,8.678988864,21.34189682,8.253779387,22.44136609,2.432006149,0,0
15.91489362,13.60977902,14,Gottlieb_2011,ETA,PBO,2.232534012,113.4512789,8.678988864,21.34189682,8.253779387,22.44136609,0.99577446,0,0
4.661870504,13.60977902,14,Strober_2011,ETA,PBO,1.033196967,21.0347468,8.678988864,21.34189682,8.253779387,22.44136609,1.692032271,0,0
5.734939759,13.60977902,14,Reich_2016_LIBERATE,ETA,PBO,1.245851583,26.39923927,8.678988864,21.34189682,8.253779387,22.44136609,1.647994671,0,0
16.69648562,13.60977902,14,"Reich ReSURFACE-2, 2017",ETA,PBO,3.198572919,87.15531558,8.678988864,21.34189682,8.253779387,22.44136609,1.406749139,0,0
31.36363636,13.60977902,14,"Lebwohl CIMPACT, 2018",ETA,PBO,3.050655116,322.4480148,8.678988864,21.34189682,8.253779387,22.44136609,0.707416526,0,0
0.384031551,0.384031551,15,Langley_2014_FIXTURE,ETA,SECU,0.194500097,0.758252743,0.194500097,0.758252743,NA,NA,8.300521717,NA,NA
