RR,TE_diamond,id,studlab,treat1,treat2,CI_lower,CI_upper,CI_lower_diamond,CI_upper_diamond,Predict_lo,Predict_up,WEIGHT,tau2,I2
5.827586207,1.340930862,1,Gordon_2015_X-PLORE,ADA,GUSEL,0.480085503,70.73898453,0.524433719,3.428642196,0.003049436,589.6486551,0.616409334,2.75E-06,0.009443642
0.738772455,1.340930862,1,Blauvelt_2016_VOYAGE1,ADA,GUSEL,0.176291976,3.095913683,0.524433719,3.428642196,0.003049436,589.6486551,1.871084797,2.75E-06,0.009443642
1.5,1.340930862,1,Reich_2017_VOYAGE-2,ADA,GUSEL,0.357949042,6.285810928,0.524433719,3.428642196,0.003049436,589.6486551,1.871133475,2.75E-06,0.009443642
1.604651163,1.351330932,2,Asahina_2010,ADA,PBO,0.253112607,10.17296365,0.758493917,2.407527928,0.673238847,2.712403324,1.126272972,0,0
7.903225806,1.351330932,2,Gordon_2006,ADA,PBO,0.717563939,87.04587117,0.758493917,2.407527928,0.673238847,2.712403324,0.667384671,0,0
1.047736048,1.351330932,2,Menter_2008_REVEAL,ADA,PBO,0.279864828,3.922432243,0.758493917,2.407527928,0.673238847,2.712403324,2.204425984,0,0
0.977011494,1.351330932,2,Gordon_2015_X-PLORE,ADA,PBO,0.12114585,7.879357471,0.758493917,2.407527928,0.673238847,2.712403324,0.881539694,0,0
0.343195266,1.351330932,2,Cai_2016,ADA,PBO,0.062560114,1.882716999,0.758493917,2.407527928,0.673238847,2.712403324,1.32583499,0,0
1.041916168,1.351330932,2,Blauvelt_2016_VOYAGE1,ADA,PBO,0.201934026,5.375960269,0.758493917,2.407527928,0.673238847,2.712403324,1.426739882,0,0
2,1.351330932,2,Reich_2017_VOYAGE-2,ADA,PBO,0.387401654,10.32520113,0.758493917,2.407527928,0.673238847,2.712403324,1.425758354,0,0
1.585321101,1.351330932,2,Elewski_2018,ADA,PBO,0.368755409,6.815474249,0.758493917,2.407527928,0.673238847,2.712403324,1.806082991,0,0
4.701492537,1.351330932,2,"Mehta VIP trial, 2018",ADA,PBO,0.416522483,53.06804064,0.758493917,2.407527928,0.673238847,2.712403324,0.653943609,0,0
0.891118421,0.891118421,3,EUCTR2015-003623-65-DE  ,ADA,RISAN,0.238521653,3.329224126,0.238521653,3.329224126,NA,NA,2.211332272,NA,NA
1.4,1.4,4,Reich_2016_LIBERATE,APRE,ETA,0.239000679,8.200813522,0.239000679,8.200813522,NA,NA,1.229274931,NA,NA
0.752669039,0.952199112,5,Papp_2015_ESTEEM-1,APRE,PBO,0.201949607,2.805208149,0.463911985,1.954429238,0.343825205,2.637046775,2.219430828,2.02E-06,0.098158007
0.836363636,0.952199112,5,Paul_2015_ESTEEM-2,APRE,PBO,0.158022857,4.426600961,0.463911985,1.954429238,0.343825205,2.637046775,1.38349048,2.02E-06,0.098158007
2,0.952199112,5,Papp_2012b,APRE,PBO,0.327316674,12.22058121,0.463911985,1.954429238,0.343825205,2.637046775,1.172601167,2.02E-06,0.098158007
0.251445087,0.952199112,5,Papp_2013b,APRE,PBO,0.041012104,1.541609064,0.463911985,1.954429238,0.343825205,2.637046775,1.168229997,2.02E-06,0.098158007
