,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.5819656825961820,0.11410538216183600,2.0807248084365500,4
1,1,B,1.1448678872488400,0.9154927505159450,2.0691992412131000,2
2,2,C,0.4967139088618200,0.13423302603167100,1.243832334159480,5
3,3,D,0.6633978249278000,0.2237111255307140,1.711463969395250,7
4,4,E,1.2016081781497400,0.4906773354299160,1.320991197985530,2
5,5,F,1.196709970699240,0.23761878051546200,5.9145490064549100,5
6,6,G,0.5882370760676840,0.9472435000098030,1.538107841435290,2
7,7,H,0.5925072088641790,0.38809725344388500,3.2527585054448300,6
8,8,I,1.06980615276659,0.42563017143797000,3.574664351388120,4
9,9,J,1.0334547035554600,0.26986937498424700,2.6887675377311300,3
