,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.6595671930681150,0.12225613943605100,1.335420172837760,5
1,1,B,1.407491010466090,0.45275648684132500,2.7646637081199500,1
2,2,C,0.5446739172104640,0.16316946887878500,1.000165222241670,3
3,3,D,0.6276854326310200,0.27191109783603300,1.2147754209332900,3
4,4,E,0.9286534102040360,0.7030093593669790,1.5674568244424400,7
5,5,F,1.2164534165281500,0.20370459914424100,6.004072384078800,1
6,6,G,0.9249183662667360,0.559724847856265,1.2080163099466800,3
7,7,H,1.3435882624540300,0.4181612574068100,2.6977061240278900,4
8,8,I,0.8509727402196140,0.318059022932373,3.2243968441077100,3
9,9,J,1.0589238191790100,0.34916484863551900,2.5053440722949200,5
