,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.7068206477533750,0.18512186602429300,2.7069850126616000,4
1,1,B,1.3637475248509800,0.7501129373211810,2.188794185819770,1
2,2,C,0.49397068435475700,0.215301014698152,1.149802327952850,6
3,3,D,0.7656740894494560,0.31022945938266700,1.0676167742041700,4
4,4,E,0.9405533389171360,0.8279949588108700,0.9115094244116050,5
5,5,F,1.0584670145076600,0.3825625241150540,5.442335926003660,2
6,6,G,0.9260050972067480,0.5315278886917620,1.6551156286787200,1
7,7,H,0.9788320113898250,0.43625093220185800,1.7061703705304500,5
8,8,I,1.1426663291865200,0.48800978413173500,2.6996595059853800,4
9,9,J,1.3640877525239900,0.43496219970976500,3.2974213059294600,7
