,index,Treatment,RR,CI_lower,CI_upper,WEIGHTS
0,0,A,0.5215558347689090,0.17729187751364000,2.066703935457660,1
1,1,B,1.2601080629001300,1.048910803950600,1.6697648253620600,5
2,2,C,0.38301235857892500,0.23924352087083500,0.786482220985111,4
3,3,D,0.5754583955004720,0.27217715887811300,1.0900271524228000,3
4,4,E,0.7380498266489170,0.5087224303680250,1.4265549344036600,7
5,5,F,1.2482304934748700,0.3980368372343920,7.277333737901890,2
6,6,G,0.8366978872821760,0.7470339137421390,1.2403617366705100,7
7,7,H,0.8731767376906270,0.2541717155497860,2.011075125531170,4
8,8,I,1.0350357938974800,0.38413455798843300,2.204632519598890,4
9,9,J,0.7065163928657670,0.4299722040069210,3.781508225096000,3
