"","studlab","treat1","treat2","RR","TE_direct","TE_adj","seTE"
"ETA.1","1","USK","ETA",0.588947561544189,0.588947561544189,0,0.110220682258466
"ETA.2","9","PBO","ETA",-2.59525470695687,-2.45688299872615,-0.138371708230715,0.456935885884634
"ETA.3","25","PBO","ETA",-2.70805020110221,-2.45688299872615,-0.251167202376059,1.0170587997508
"ETA.4","29","PBO","ETA",-2.99573227355399,-2.45688299872615,-0.53884927482784,1.00435559376655
"ETA.5","30","PBO","ETA",-3.38684425230734,-2.45688299872615,-0.92996125358119,1.0047836529826
"ETA.6","31","PBO","ETA",-2.78164127349426,-2.45688299872615,-0.324758274768107,0.508854532598779
"ETA.7","32","PBO","ETA",-1.8292425624828,-2.45688299872615,0.627640436243355,1.02213858151506
"ETA.8","67","PBO","ETA",-3.54715129428524,-2.45688299872615,-1.09026829555908,0.998510795897475
"ETA.9","69","PBO","ETA",-3.44812361239352,-2.45688299872615,-0.991240613667374,1.00308508915872
"ETA.10","70","PBO","ETA",-2.11047758974083,-2.45688299872615,0.346405408985324,0.411183170985803
"ETA.11","84","PBO","ETA",-2.76725537626442,-2.45688299872615,-0.310372377538268,1.00424347116052
"ETA.12","85","PBO","ETA",-1.53941676322158,-2.45688299872615,0.917466235504568,0.59100527652227
"ETA.13","93","PBO","ETA",-1.74657724643482,-2.45688299872615,0.710305752291329,0.606798078498319
"ETA.14","126","PBO","ETA",-2.8151982555404,-2.45688299872615,-0.358315256814254,0.710858796488556
"ETA.15","128","PBO","ETA",-3.44564914423299,-2.45688299872615,-0.988766145506838,1.41359434398874
"ETA.16","9","SECU","ETA",0.842100598328025,0.842100598328025,0,0.116335569320446
"ETA.17","79","IFX","ETA",2.21920348405499,2.21920348405499,0,1.00822702757387
"ETA.18","128","CERTO","ETA",0.179393297014866,0.179393297014866,0,0.147815238624265
"ETA.19","93","APRE","ETA",-0.348306694268216,-0.348306694268216,0,0.343599297442427
"ETA.20","69","IXE","ETA",1.24791868319831,1.06913821078017,0.178780472418144,0.11356590371365
"ETA.21","70","IXE","ETA",0.954988021827839,1.06913821078017,-0.11415018895233,0.0907457382808815
"ETA.22","126","TILDRA","ETA",0.56550060457341,0.56550060457341,0,0.11997367740795
"USK.1","1","ETA","USK",-0.588947561544189,-0.588947561544189,0,0.110220682258466
"USK.2","2","PBO","USK",-2.50065500675614,-2.88254273093756,0.38188772418142,0.990780916952292
"USK.3","3","PBO","USK",-3.16758253048065,-2.88254273093756,-0.285039799543092,0.995487350893759
"USK.4","4","PBO","USK",-2.99377340906866,-2.88254273093756,-0.111230678131099,0.446230304002454
"USK.5","5","PBO","USK",-4.15366113937852,-2.88254273093756,-1.27111840844096,0.576448261160607
"USK.6","6","PBO","USK",-3.38466807971094,-2.88254273093756,-0.502125348773386,1.00013660269171
"USK.7","76","PBO","USK",-2.67573359962567,-2.88254273093756,0.206809131311892,0.317053022842449
"USK.8","77","PBO","USK",-3.40087784179684,-2.88254273093756,-0.51833511085928,0.447595708248478
"USK.9","101","PBO","USK",-2.14803433314545,-2.88254273093756,0.734508397792111,0.451669793367784
"USK.10","102","PBO","USK",-3.1468480496861,-2.88254273093756,-0.264305318748536,0.7077934048937
"USK.11","136","PBO","USK",-2.89897660508968,-2.88254273093756,-0.0164338741521242,1.41926286696416
"USK.12","151","PBO","USK",-2.33324520054238,-2.88254273093756,0.549297530395175,0.494128036966238
"USK.13","72","SECU","USK",0.319176091269519,0.334989852490018,-0.0158137612204994,0.0552450394181968
"USK.14","97","SECU","USK",0.345819028342274,0.334989852490018,0.0108291758522553,0.0457165451055175
