"","studlab","treat1","treat2","RR","TE_direct","TE_adj","seTE"
"ETA.1","1","USK","ETA",0.221703666256222,0.221703666256222,0,0.608538901360067
"ETA.2","9","PBO","ETA",0.693147180559945,0.306534871701573,0.386612308858372,0.702755313515911
"ETA.3","28","PBO","ETA",0.0357180826020792,0.306534871701573,-0.270816789099494,0.981974705462956
"ETA.4","31","PBO","ETA",-0.686695545278457,0.306534871701573,-0.99323041698003,0.702529942395131
"ETA.5","32","PBO","ETA",1.14117190308691,0.306534871701573,0.834637031385332,0.895085211715557
"ETA.6","67","PBO","ETA",-0.117783035656384,0.306534871701573,-0.424317907357957,0.794116926605707
"ETA.7","69","PBO","ETA",-0.629725354122449,0.306534871701573,-0.936260225824023,0.78501867682128
"ETA.8","70","PBO","ETA",0.682730419701689,0.306534871701573,0.376195548000116,0.626259412546127
"ETA.9","84","PBO","ETA",0.729252185202062,0.306534871701573,0.422717313500488,1.40648566258796
"ETA.10","85","PBO","ETA",1.35095499467458,0.306534871701573,1.04442012297301,1.21610725945814
"ETA.11","93","PBO","ETA",-1.62134281494042,0.306534871701573,-1.92787768664199,1.54148942019372
"ETA.12","126","PBO","ETA",0.136731395355193,0.306534871701573,-0.16980347634638,0.61907349989155
"ETA.13","128","PBO","ETA",2.70218508164981,0.306534871701573,2.39565020994824,1.08469986051889
"ETA.14","9","SECU","ETA",0.60307301403977,0.60307301403977,0,0.647800808576278
"ETA.15","79","IFX","ETA",-0.083381608939051,-0.083381608939051,0,1.38438496782161
"ETA.16","128","CERTO","ETA",0.940101380567874,0.940101380567874,0,1.09137784422539
"ETA.17","93","APRE","ETA",0.336472236621213,0.336472236621213,-5.55111512312578e-17,0.813487670408042
"ETA.18","69","IXE","ETA",-0.182178300579971,0.0662146868776085,-0.24839298745758,0.44463143847151
"ETA.19","70","IXE","ETA",0.396344523711355,0.0662146868776085,0.330129836833747,0.512593258596255
"ETA.20","126","TILDRA","ETA",-0.328452947454593,-0.328452947454593,0,0.487905676048247
"USK.1","1","ETA","USK",-0.221703666256222,-0.221703666256222,0,0.608538901360067
"USK.2","2","PBO","USK",0.965080896043587,0.0225809643207133,0.942499931722874,0.891149160015777
"USK.3","3","PBO","USK",-0.810930216216329,0.0225809643207133,-0.833511180537042,1.04478699317665
"USK.4","4","PBO","USK",-0.403506243622831,0.0225809643207133,-0.426087207943545,0.812888769067939
"USK.5","5","PBO","USK",0.207639364778245,0.0225809643207133,0.185058400457531,0.445269065103013
"USK.6","6","PBO","USK",1.62583172220978,0.0225809643207133,1.60325075788906,1.53857431142553
"USK.7","59","PBO","USK",-0.0124225199985572,0.0225809643207133,-0.0350034843192705,1.40981458372859
"USK.8","76","PBO","USK",0.663588378318401,0.0225809643207133,0.641007413997688,0.606984695615939
"USK.9","77","PBO","USK",0.399095659822685,0.0225809643207133,0.376514695501971,0.909375523081536
"USK.10","101","PBO","USK",-1.00063188030791,0.0225809643207133,-1.02321284462862,0.662215532711749
"USK.11","102","PBO","USK",-1.08845991720409,0.0225809643207133,-1.11104088152481,1.14587444408175
"USK.12","151","PBO","USK",-0.241381138863991,0.0225809643207133,-0.263962103184704,0.825722010063776
"USK.13","72","SECU","USK",0.00591717702808862,0.234629929388308,-0.228712752360219,0.440548281624364
"USK.14","97","SECU","USK",0.445462520329618,0.234629929388308,0.21083259094131,0.422977430270933
"USK.15","76","BRODA","USK",0.15368295297121,0.404031368511715,-0.250348415540505,0.546333153861699
"USK.16","77","BRODA","USK",0.86419903425058,0.404031368511715,0.460167665738865,0.740701428492944
"USK.17","124","IXE","USK",-0.311492721145499,-0.311492721145499,0,0.721079951025766
"USK.18","101","RISAN","USK",-1.24538890804265,-0.622605412227619,-0.622783495815034,0.50454699401833
"USK.19","102","RISAN","USK",-0.395312736644147,-0.622605412227619,0.227292675583472,0.697493820298626
"USK.20","121","RISAN","USK",0.151880531292719,-0.622605412227619,0.774485943520338,0.625544495864136
"USK.21","151","BIME","USK",-0.677690922323253,-0.677690922323253,0,0.625099804733083
"PBO.1","9","ETA","PBO",-0.693147180559945,-0.306534871701573,-0.386612308858372,0.702755313515911
"PBO.2","28","ETA","PBO",-0.0357180826020792,-0.306534871701573,0.270816789099494,0.981974705462956
"PBO.3","31","ETA","PBO",0.686695545278457,-0.306534871701573,0.99323041698003,0.702529942395131
"PBO.4","32","ETA","PBO",-1.14117190308691,-0.306534871701573,-0.834637031385332,0.895085211715557
"PBO.5","67","ETA","PBO",0.117783035656384,-0.306534871701573,0.424317907357957,0.794116926605707
"PBO.6","69","ETA","PBO",0.629725354122449,-0.306534871701573,0.936260225824023,0.78501867682128
"PBO.7","70","ETA","PBO",-0.682730419701689,-0.306534871701573,-0.376195548000116,0.626259412546127
"PBO.8","84","ETA","PBO",-0.729252185202062,-0.306534871701573,-0.422717313500488,1.40648566258796
"PBO.9","85","ETA","PBO",-1.35095499467458,-0.306534871701573,-1.04442012297301,1.21610725945814
"PBO.10","93","ETA","PBO",1.62134281494042,-0.306534871701573,1.92787768664199,1.54148942019372
"PBO.11","126","ETA","PBO",-0.136731395355193,-0.306534871701573,0.16980347634638,0.61907349989155
"PBO.12","128","ETA","PBO",-2.70218508164981,-0.306534871701573,-2.39565020994824,1.08469986051889
"PBO.13","2","USK","PBO",-0.965080896043587,-0.0225809643207133,-0.942499931722874,0.891149160015777
"PBO.14","3","USK","PBO",0.810930216216329,-0.0225809643207133,0.833511180537042,1.04478699317665
"PBO.15","4","USK","PBO",0.403506243622831,-0.0225809643207133,0.426087207943545,0.812888769067939
"PBO.16","5","USK","PBO",-0.207639364778245,-0.0225809643207133,-0.185058400457531,0.445269065103013
"PBO.17","6","USK","PBO",-1.62583172220978,-0.0225809643207133,-1.60325075788906,1.53857431142553
"PBO.18","59","USK","PBO",0.0124225199985572,-0.0225809643207133,0.0350034843192705,1.40981458372859
"PBO.19","76","USK","PBO",-0.663588378318401,-0.0225809643207133,-0.641007413997688,0.606984695615939
"PBO.20","77","USK","PBO",-0.399095659822685,-0.0225809643207133,-0.376514695501971,0.909375523081536
"PBO.21","101","USK","PBO",1.00063188030791,-0.0225809643207133,1.02321284462862,0.662215532711749
"PBO.22","102","USK","PBO",1.08845991720409,-0.0225809643207133,1.11104088152481,1.14587444408175
"PBO.23","151","USK","PBO",0.241381138863991,-0.0225809643207133,0.263962103184704,0.825722010063776
"PBO.24","7","SECU","PBO",0.693147180559945,0.11569683641374,0.577450344146205,1.106605743337
"PBO.25","8","SECU","PBO",0.235314086934465,0.11569683641374,0.119617250520725,0.586452833234654
"PBO.26","9","SECU","PBO",-0.0900741665201756,0.11569683641374,-0.205771002933916,0.502970397663136
"PBO.27","10","SECU","PBO",-1.13822142676316,0.11569683641374,-1.2539182631769,0.882139473107688
"PBO.28","11","SECU","PBO",0.869516338826605,0.11569683641374,0.753819502412865,1.03220182190721
"PBO.29","73","SECU","PBO",0.701377679696461,0.11569683641374,0.585680843282721,1.10695171284349
"PBO.30","81","SECU","PBO",0.554075607559807,0.11569683641374,0.438378771146067,1.4237434861443
"PBO.31","123","SECU","PBO",-0.0228146777661715,0.11569683641374,-0.138511514179911,0.852699588145147
"PBO.32","135","SECU","PBO",-1.42629969573359,0.11569683641374,-1.54199653214733,1.21234809983192
"PBO.33","138","SECU","PBO",1.58769792579769,0.11569683641374,1.47200108938395,1.53509498132132
"PBO.34","139","SECU","PBO",-1.39331193377854,0.11569683641374,-1.50900877019228,1.21610956988453
"PBO.35","141","SECU","PBO",0.839917753089581,0.11569683641374,0.724220916675841,0.749379866041921
"PBO.36","147","SECU","PBO",-0.65677953638907,0.11569683641374,-0.77247637280281,1.39490759398865
"PBO.37","158","SECU","PBO",1.75253875607477,0.11569683641374,1.63684191966103,1.44077686629355
"PBO.38","166","SECU","PBO",-1.11748077297249,0.11569683641374,-1.23317760938623,1.62139676169468
"PBO.39","167","SECU","PBO",1.48572825810808,0.11569683641374,1.37003142169434,1.47831311029711
"PBO.40","17","IFX","PBO",0.776761320601079,0.201999482343449,0.574761838257629,0.736555671547331
"PBO.41","18","IFX","PBO",-0.610909082322973,0.201999482343449,-0.812908564666423,1.38520648008923
"PBO.42","40","IFX","PBO",-0.227939723577703,0.201999482343449,-0.429939205921152,0.526242097037003
"PBO.43","42","IFX","PBO",1.86966853241065,0.201999482343449,1.6676690500672,1.43371710629975
"PBO.44","55","IFX","PBO",0.479573080261886,0.201999482343449,0.277573597918437,1.62260726152758
"PBO.45","19","BRODA","PBO",-0.744440474947496,-0.120434886671842,-0.624005588275653,1.2113769894324
"PBO.46","74","BRODA","PBO",0.389681240406902,-0.120434886671842,0.510116127078745,0.701497570028977
"PBO.47","75","BRODA","PBO",0.00881062968215492,-0.120434886671842,0.129245516353997,1.13937175071946
"PBO.48","76","BRODA","PBO",-0.509905425347191,-0.120434886671842,-0.389470538675348,0.416625734187305
"PBO.49","77","BRODA","PBO",0.465103374427895,-0.120434886671842,0.585538261099738,0.618055195358094
"PBO.50","21","ADA","PBO",-0.290395778323377,0.17544192760328,-0.465837705926657,0.848605201648213
