,studlab,treat1,treat2,TE,seTE,n1,mean1,sd1,n2,mean2,sd2,Study_No,Study_ID,Drug1,Drug2,OverallEfficM1,OverallEfficM2,OverallEfficSD1,OverallEfficSD2,OverallEfficN1,OverallEfficN2,No_randomised1,No_randomised2,rob,year
1,3,Haloperidol,Risperidone,14.8,4.229713488,30,86.1,17,35,71.3,17,3,Abdolahian 2008,Haloperidol,Risperidone,86.1,71.3,17,17,30,35,30,35,1,2000
2,3345,Fluphenazine,Pimozide,9,2.881140647,31,31.3,11.34306207,31,22.3,11.34306207,3345,Abuzzahab 1977a,Fluphenazine,Pimozide,31.3,22.3,11.34306207,11.34306207,16,16,31,31,1,2000
3,518,Risperidone,Ziprasidone,-1.5,2.381880027,147,-27.3,20.48923902,149,-25.8,20.48923902,518,Addington 2004,Risperidone,Ziprasidone,-27.3,-25.8,20.48923902,20.48923902,132,125,147,149,1,2000
4,523,Haloperidol,Olanzapine,1.9,8.609243691,10,85.3,14.6,13,83.4,26.2,523,Allan 1998,Haloperidol,Olanzapine,85.3,83.4,14.6,26.2,10,13,10,13,1,2000
5,1158,Olanzapine,Ziprasidone,-12.1,4.306138476,24,-17.5,15.48,28,-5.4,15.48,1158,Alvarez 2012,Olanzapine,Ziprasidone,-17.5,-5.4,15.48,15.48,23,26,24,28,1,2000
6,14,Haloperidol,Placebo,-9.29,2.91266936,52,-7.58,14.85,51,1.71,14.71,14,Arvanitis 1997,Haloperidol,Placebo,-7.58,1.71,14.85,14.71,50,51,52,51,1,2000
7,14,Haloperidol,Quetiapine,-0.59,2.515335474,52,-7.58,14.85,105,-6.99,14.8,14,Arvanitis 1997,Haloperidol,Quetiapine,-7.58,-6.99,14.85,14.8,50,104,52,105,1,2000
8,14,Placebo,Quetiapine,8.7,2.51573463,51,1.71,14.71,105,-6.99,14.8,14,Arvanitis 1997,Placebo,Quetiapine,1.71,-6.99,14.71,14.8,51,104,51,105,1,2000
9,533,Risperidone,Sertindole,3.5,3.386211198,89,-25.8,22.4,98,-29.3,23.9,533,Azorin 2006,Risperidone,Sertindole,-25.8,-29.3,22.4,23.9,82,90,89,98,1,2000
10,1184,Chlorpromazine,Zuclopenthixol,-0.2,2.168751212,44,12.9,9.3,50,13.1,11.7,1184,Balasubramanian 1991,Chlorpromazine,Zuclopenthixol,12.9,13.1,9.3,11.7,38,45,44,50,1,2000
11,539,Olanzapine,Placebo,-11.3,2.191769348,150,-22,18.2,145,-10.7,19.4,539,Barbato 2007c,Olanzapine,Placebo,-22,-10.7,18.2,19.4,148,145,150,145,1,2000
12,28,Haloperidol,Placebo,-4.2,3.759484236,52,-18.9,20.9,51,-14.7,17.1,28,Barbato 2007d,Haloperidol,Placebo,-18.9,-14.7,20.9,17.1,50,51,52,51,1,2000
13,31,Olanzapine,Placebo,-15.1,4.241697773,50,-12.3,21.8,50,2.8,20.6,31,Beasley 1996a,Olanzapine,Placebo,-12.3,2.8,21.8,20.6,49,49,50,50,1,2000
14,32,Haloperidol,Olanzapine,1.03,2.140228851,69,-12.9,13.5,133,-13.93,16.06,32,Beasley 1996b,Haloperidol,Olanzapine,-12.9,-13.93,13.5,16.06,68,127,69,133,1,2000
15,32,Haloperidol,Placebo,-9.8,2.673009693,69,-12.9,13.5,68,-3.1,17.5,32,Beasley 1996b,Haloperidol,Placebo,-12.9,-3.1,13.5,17.5,68,62,69,68,1,2000
16,32,Olanzapine,Placebo,-10.83,2.538297,133,-13.93,16.06,68,-3.1,17.5,32,Beasley 1996b,Olanzapine,Placebo,-13.93,-3.1,16.06,17.5,127,62,133,68,1,2000
17,33,Haloperidol,Olanzapine,4.72,3.512402893,81,-20,25.9,175,-24.72,26.64,33,Beasley 1997,Haloperidol,Olanzapine,-20,-24.72,25.9,26.64,79,168,81,175,1,2000
18,547,Haloperidol,Placebo,-12.05,2.614374984,30,24.17,7.96,31,36.22,12.1,547,Bechelli 1983,Haloperidol,Placebo,24.17,36.22,7.96,12.1,29,23,30,31,1,2000
