"","ADA","APRE","BIME","BRODA","CERTO","CICLO","DEUCRAVA","ETA","FUM","GUSEL","IFX","IXE","MTX","NETA","PBO","RISAN","SECU","SONELO","TILDRA","USK"
"ADA","ADA",".","2.01 (0.59,  6.83)",".",".",".",".",".",".","1.10 (0.54,  2.22)",".",".",".",".","1.19 (0.74,  1.92)","0.89 (0.37,  2.16)",".",".",".","."
"APRE","1.18 (0.60,   2.33)","APRE",".",".",".",".",".","1.40 (0.28,  6.90)",".",".",".",".",".",".","0.85 (0.48,  1.52)",".",".",".",".","."
"BIME","1.93 (0.90,   4.13)","1.63 (0.65,   4.09)","BIME",".",".",".",".",".",".",".",".",".",".",".","0.58 (0.20,  1.65)",".",".",".",".","0.51 (0.15,  1.73)"
"BRODA","0.98 (0.51,   1.86)","0.83 (0.39,   1.76)","0.51 (0.21,   1.22)","BRODA",".",".",".",".",".",".",".",".",".",".","0.89 (0.50,  1.57)",".",".",".",".","1.50 (0.63,  3.55)"
"CERTO","1.44 (0.58,   3.56)","1.22 (0.46,   3.26)","0.75 (0.25,   2.23)","1.48 (0.56,   3.87)","CERTO",".",".","2.56 (0.30, 21.74)",".",".",".",".",".",".","0.61 (0.26,  1.39)",".",".",".",".","."
"CICLO","0.18 (0.01,   3.23)","0.15 (0.01,   2.81)","0.09 (0.00,   1.79)","0.18 (0.01,   3.37)","0.12 (0.01,   2.44)","CICLO",".",".",".",".",".",".",".",".","5.66 (0.32,100.06)",".",".",".",".","."
"DEUCRAVA","1.66 (0.17,  16.12)","1.40 (0.14,  14.10)","0.86 (0.08,   9.07)","1.70 (0.17,  16.90)","1.15 (0.11,  12.47)","9.31 (0.24, 355.55)","DEUCRAVA",".",".",".",".",".",".",".","0.61 (0.06,  5.71)",".",".",".",".","."
"ETA","1.26 (0.73,   2.18)","1.07 (0.56,   2.06)","0.66 (0.29,   1.49)","1.30 (0.68,   2.46)","0.88 (0.36,   2.14)","7.11 (0.39, 129.04)","0.76 (0.08,   7.42)","ETA",".",".","1.09 (0.07, 16.39)","0.94 (0.48,  1.81)",".",".","0.74 (0.46,  1.18)",".","0.55 (0.15,  1.95)",".","1.39 (0.53,  3.61)","0.80 (0.24,  2.64)"
"FUM","1.15 (0.46,   2.90)","0.98 (0.36,   2.65)","0.60 (0.20,   1.81)","1.18 (0.44,   3.14)","0.80 (0.25,   2.56)","6.47 (0.33, 128.80)","0.70 (0.06,   7.59)","0.91 (0.36,   2.29)","FUM",".",".",".",".",".","0.87 (0.38,  2.01)",".",".",".",".","."
"GUSEL","1.11 (0.69,   1.79)","0.94 (0.48,   1.84)","0.58 (0.26,   1.29)","1.14 (0.61,   2.14)","0.77 (0.31,   1.90)","6.26 (0.35, 113.51)","0.67 (0.07,   6.53)","0.88 (0.53,   1.47)","0.97 (0.39,   2.42)","GUSEL",".","0.91 (0.47,  1.77)",".",".","1.07 (0.50,  2.28)",".","0.86 (0.55,  1.35)",".",".","."
"IFX","0.85 (0.37,   1.94)","0.72 (0.29,   1.79)","0.44 (0.16,   1.24)","0.87 (0.36,   2.12)","0.59 (0.20,   1.76)","4.80 (0.25,  92.73)","0.52 (0.05,   5.43)","0.67 (0.30,   1.52)","0.74 (0.25,   2.23)","0.77 (0.34,   1.73)","IFX",".",".",".","1.22 (0.58,  2.59)",".",".",".",".","."
