,ADA,APRE,BIME,BRODA,CERTO,CICLO,ETA,FUM,GUSEL,IFX,IXE,MIRI,MTX,PBO,RISAN,SECU,TILDRA,TOFA,TYK2,USK
ADA,ADA,"1.23 (0.61,   2.46)","5.16 (0.32,  83.31)","0.95 (0.47,   1.91)","0.89 (0.33,   2.40)","0.18 (0.01,   3.35)","1.28 (0.73,   2.23)","1.14 (0.55,   2.34)","1.12 (0.64,   1.95)","0.80 (0.38,   1.67)","1.06 (0.59,   1.92)","1.61 (0.40,   6.54)","2.28 (1.08,   4.83)","1.04 (0.70,   1.56)","1.49 (0.87,   2.53)","1.04 (0.60,   1.80)","1.39 (0.49,   3.97)","1.26 (0.58,   2.73)","1.71 (0.18,  16.70)","1.11 (0.65,   1.90)"
APRE,"1.94 ( 0.99,  3.80)",APRE,"4.21 (0.25,  69.91)","0.78 (0.35,   1.74)","0.73 (0.25,   2.12)","0.15 (0.01,   2.80)","1.04 (0.53,   2.03)","0.93 (0.40,   2.15)","0.91 (0.42,   1.97)","0.65 (0.28,   1.52)","0.87 (0.41,   1.82)","1.31 (0.31,   5.64)","1.86 (0.78,   4.41)","0.85 (0.48,   1.50)","1.21 (0.59,   2.49)","0.85 (0.42,   1.70)","1.13 (0.37,   3.47)","1.03 (0.43,   2.44)","1.40 (0.14,  14.10)","0.91 (0.46,   1.80)"
BIME,"0.25 ( 0.02,  4.19)","0.13 ( 0.01,  2.28)",BIME,"0.18 (0.01,   3.07)","0.17 (0.01,   3.13)","0.04 (0.00,   1.90)","0.25 (0.02,   3.99)","0.22 (0.01,   3.70)","0.22 (0.01,   3.57)","0.15 (0.01,   2.60)","0.21 (0.01,   3.37)","0.31 (0.01,   6.67)","0.44 (0.03,   7.47)","0.20 (0.01,   3.16)","0.29 (0.02,   4.68)","0.20 (0.01,   3.25)","0.27 (0.01,   4.98)","0.24 (0.01,   4.13)","0.33 (0.01,  11.54)","0.22 (0.01,   3.47)"
BRODA,"0.64 ( 0.43,  0.96)","0.33 ( 0.16,  0.66)","2.55 ( 0.15, 42.83)",BRODA,"0.94 (0.32,   2.74)","0.19 (0.01,   3.62)","1.34 (0.67,   2.69)","1.20 (0.53,   2.69)","1.18 (0.55,   2.54)","0.84 (0.36,   1.96)","1.12 (0.53,   2.36)","1.69 (0.39,   7.29)","2.39 (1.01,   5.69)","1.10 (0.62,   1.95)","1.56 (0.77,   3.16)","1.09 (0.56,   2.15)","1.46 (0.47,   4.51)","1.32 (0.55,   3.18)","1.80 (0.18,  18.20)","1.17 (0.62,   2.21)"
CERTO,"1.08 ( 0.60,  1.94)","0.56 ( 0.25,  1.23)","4.31 ( 0.25, 74.55)","1.69 ( 0.91,  3.13)",CERTO,"0.21 (0.01,   4.20)","1.43 (0.54,   3.81)","1.28 (0.43,   3.82)","1.26 (0.44,   3.56)","0.90 (0.30,   2.69)","1.19 (0.43,   3.33)","1.81 (0.36,   9.13)","2.56 (0.84,   7.80)","1.17 (0.47,   2.89)","1.67 (0.61,   4.57)","1.17 (0.43,   3.14)","1.56 (0.41,   5.86)","1.41 (0.46,   4.33)","1.92 (0.17,  21.55)","1.25 (0.47,   3.34)"
CICLO,"3.68 ( 1.78,  7.62)","1.89 ( 0.75,  4.78)","14.65 ( 0.82, 262.68)","5.76 ( 2.68, 12.37)","3.40 ( 1.43,  8.07)",CICLO,"6.94 (0.38, 126.10)","6.18 (0.33, 116.70)","6.09 (0.33, 112.66)","4.35 (0.23,  82.10)","5.77 (0.31, 106.29)","8.75 (0.37, 208.38)","12.38 (0.65, 235.32)","5.66 (0.32, 100.06)","8.07 (0.44, 147.65)","5.66 (0.31, 102.74)","7.54 (0.36, 156.45)","6.83 (0.36, 130.25)","9.31 (0.24, 355.55)","6.05 (0.33, 109.69)"
ETA,"1.62 ( 1.16,  2.26)","0.84 ( 0.45,  1.56)","6.47 ( 0.39, 107.71)","2.54 ( 1.73,  3.73)","1.50 ( 0.90,  2.50)","0.44 ( 0.22,  0.91)",ETA,"0.89 (0.43,   1.84)","0.88 (0.47,   1.63)","0.63 (0.30,   1.30)","0.83 (0.48,   1.44)","1.26 (0.31,   5.11)","1.78 (0.84,   3.80)","0.82 (0.55,   1.22)","1.16 (0.65,   2.08)","0.82 (0.47,   1.40)","1.09 (0.41,   2.90)","0.98 (0.48,   2.01)","1.34 (0.14,  13.06)","0.87 (0.52,   1.47)"
FUM,"3.64 ( 2.40,  5.53)","1.88 ( 0.92,  3.84)","14.52 ( 0.86, 245.27)","5.71 ( 3.79,  8.59)","3.37 ( 1.79,  6.35)","0.99 ( 0.46,  2.15)","2.24 ( 1.49,  3.38)",FUM,"0.98 (0.46,   2.09)","0.70 (0.30,   1.67)","0.93 (0.44,   1.98)","1.42 (0.32,   6.21)","2.00 (0.84,   4.77)","0.92 (0.49,   1.70)","1.31 (0.63,   2.70)","0.92 (0.46,   1.81)","1.22 (0.39,   3.85)","1.11 (0.45,   2.73)","1.51 (0.15,  15.39)","0.98 (0.49,   1.97)"
GUSEL,"0.66 ( 0.51,  0.87)","0.34 ( 0.17,  0.67)","2.65 ( 0.16, 44.24)","1.04 ( 0.69,  1.56)","0.61 ( 0.34,  1.10)","0.18 ( 0.09,  0.38)","0.41 ( 0.29,  0.57)","0.18 ( 0.12,  0.27)",GUSEL,"0.71 (0.32,   1.60)","0.95 (0.55,   1.64)","1.44 (0.34,   6.06)","2.03 (0.90,   4.62)","0.93 (0.55,   1.56)","1.33 (0.69,   2.55)","0.93 (0.49,   1.76)","1.24 (0.42,   3.70)","1.12 (0.49,   2.59)","1.53 (0.15,  15.25)","0.99 (0.53,   1.86)"
IFX,"0.88 ( 0.50,  1.56)","0.45 ( 0.20,  1.02)","3.52 ( 0.20, 60.79)","1.38 ( 0.75,  2.55)","0.82 ( 0.39,  1.70)","0.24 ( 0.11,  0.54)","0.54 ( 0.31,  0.94)","0.24 ( 0.13,  0.45)","1.33 ( 0.75,  2.37)",IFX,"1.33 (0.61,   2.91)","2.01 (0.46,   8.85)","2.85 (1.47,   5.54)","1.30 (0.70,   2.43)","1.86 (0.87,   3.98)","1.30 (0.62,   2.72)","1.74 (0.55,   5.49)","1.57 (0.63,   3.90)","2.14 (0.21,  21.92)","1.39 (0.67,   2.89)"
