"","1","10","11","12","2","3","4","5","6","7","8","9"
"1","1",".","1.68 ( 0.86, 2.50)","2.23 (-0.56, 5.01)","3.96 ( 2.37, 5.55)","1.48 ( 0.32, 2.65)","0.93 (-2.56, 4.42)",".",".",".",".","."
"10","0.78 (-1.29, 2.85)","10",".",".",".","-0.21 (-2.29, 1.87)",".",".","4.00 ( 0.62, 7.38)",".",".","."
"11","1.68 ( 0.86, 2.50)","0.90 (-1.33, 3.12)","11",".",".",".",".",".",".",".",".","."
"12","2.23 (-0.56, 5.01)","1.45 (-2.02, 4.92)","0.55 (-2.35, 3.46)","12",".",".",".",".",".",".",".","."
"2","4.29 ( 3.07, 5.51)","3.51 ( 1.34, 5.68)","2.61 ( 1.14, 4.09)","2.06 (-0.98, 5.10)","2","-3.35 (-4.89,-1.81)",".",".",".",".",".","."
"3","1.25 ( 0.23, 2.27)","0.47 (-1.33, 2.27)","-0.43 (-1.74, 0.89)","-0.98 (-3.94, 1.99)","-3.04 (-4.25,-1.83)","3","0.14 (-1.72, 1.99)","1.17 (-0.17, 2.51)","1.43 ( 0.18, 2.67)","0.58 (-0.84, 1.99)","2.61 (-1.97, 7.18)","1.00 (-1.85, 3.85)"
"4","1.43 (-0.54, 3.39)","0.64 (-1.88, 3.17)","-0.25 (-2.38, 1.88)","-0.80 (-4.21, 2.60)","-2.87 (-4.98,-0.76)","0.17 (-1.60, 1.95)","4",".",".",".",".","."
"5","2.42 ( 0.74, 4.11)","1.64 (-0.60, 3.89)","0.75 (-1.13, 2.62)","0.19 (-3.06, 3.45)","-1.87 (-3.67,-0.06)","1.17 (-0.17, 2.51)","1.00 (-1.23, 3.22)","5",".",".",".","."
"6","2.99 ( 1.43, 4.54)","2.20 ( 0.24, 4.17)","1.31 (-0.45, 3.06)","0.76 (-2.43, 3.94)","-1.31 (-2.99, 0.38)","1.73 ( 0.57, 2.90)","1.56 (-0.56, 3.68)","0.56 (-1.21, 2.34)","6","-2.70 (-8.56, 3.16)",".","."
"7","1.74 ( 0.03, 3.46)","0.96 (-1.29, 3.22)","0.07 (-1.84, 1.97)","-0.49 (-3.76, 2.78)","-2.55 (-4.38,-0.72)","0.49 (-0.88, 1.87)","0.32 (-1.93, 2.56)","-0.68 (-2.60, 1.24)","-1.24 (-3.00, 0.52)","7",".","."
"8","3.86 (-0.83, 8.54)","3.07 (-1.84, 7.99)","2.18 (-2.58, 6.94)","1.63 (-3.82, 7.08)","-0.44 (-5.16, 4.29)","2.61 (-1.97, 7.18)","2.43 (-2.47, 7.33)","1.43 (-3.33, 6.20)","0.87 (-3.85, 5.59)","2.11 (-2.66, 6.89)","8","."
"9","2.25 (-0.78, 5.28)","1.47 (-1.90, 4.84)","0.57 (-2.56, 3.71)","0.02 (-4.09, 4.14)","-2.04 (-5.14, 1.06)","1.00 (-1.85, 3.85)","0.83 (-2.53, 4.18)","-0.17 (-3.32, 2.98)","-0.73 (-3.81, 2.35)","0.51 (-2.66, 3.67)","-1.61 (-6.99, 3.78)","9"
