"","studlab","treat1","treat2","TE","seTE","event1.x","n1","event2.x","n2","incr.x","allstudies.x","studlab.orig.x","name.x","rob","year","funding.x","co_intervention.x","sample_size.x","age.x","male.x","duration_pso.x","weight.x","pasi_score.x","previous_topical.x","previous_photo.x","previous_systemic.x","effect_size1","effect_size2","treat.orig1.x","treat.orig2.x","r1.x","r2.x","n.orig1.x","n.orig2.x","z11.x","z12.x","nz1.x","nz2.x","TE2","seTE2","event1.y","n1.y","event2.y","n2.y","incr.y","allstudies.y","studlab.orig.y","name.y","rob.y","year.y","funding.y","co_intervention.y","sample_size.y","age.y","male.y","duration_pso.y","weight.y","pasi_score.y","previous_topical.y","previous_photo.y","previous_systemic.y","effect_size1.y","effect_size2.y","treat.orig1.y","treat.orig2.y","r1.y","r2.y","n.orig1.y","n.orig2.y","z11.y","z12.y","n2.1","n2.2"
"1","1","ETA","USK",-0.588947561544189,0.110220682258466,80,347,231,556,0,FALSE,1,"ACCEPT_2010","H",2010,1,0,903,45,613,19,90,20,874,592,510,"RR","RR","ETA","USK",80,231,347,556,4,8,347,556,-0.221703666256222,0.608538901360067,4,347,8,556,0,FALSE,1,"ACCEPT_2010","H",2010,1,0,903,45,613,19,90,20,874,592,510,"RR","RR","ETA","USK",80,231,347,556,4,8,347,556
"2","2","PBO","USK",-2.50065500675614,0.990780916952292,1,32,48,126,0,FALSE,2,"Igarashi_2012","M",2012,1,0,160,45,126,16,72,30,158,107,119,"RR","RR","PBO","USK",1,48,32,126,2,3,32,126,0.965080896043587,0.891149160015777,2,32,3,126,0,FALSE,2,"Igarashi_2012","M",2012,1,0,160,45,126,16,72,30,158,107,119,"RR","RR","PBO","USK",1,48,32,126,2,3,32,126
"3","3","USK","PBO",3.16758253048065,0.995487350893759,95,256,1,64,0,FALSE,3,"Krueger_2007","L",2007,1,0,320,45,222,18,93,19,NA,NA,NA,"RR","RR","USK","PBO",95,1,256,64,9,1,256,64,0.810930216216329,1.04478699317665,9,256,1,64,0,FALSE,3,"Krueger_2007","L",2007,1,0,320,45,222,18,93,19,NA,NA,NA,"RR","RR","USK","PBO",95,1,256,64,9,1,256,64
"4","4","USK","PBO",2.99377340906866,0.446230304002454,200,511,5,255,0,FALSE,4,"PHOENIX1_2008","L",2008,1,0,766,45,531,20,93.5,20.5,726,492,424,"RR","RR","USK","PBO",200,5,511,255,6,2,511,255,0.403506243622831,0.812888769067939,6,511,2,255,0,FALSE,4,"PHOENIX1_2008","L",2008,1,0,766,45,531,20,93.5,20.5,726,492,424,"RR","RR","USK","PBO",200,5,511,255,6,2,511,255
"5","5","USK","PBO",4.15366113937852,0.576448261160607,382,820,3,410,0,FALSE,5,"PHOENIX2_2008","L",2008,1,0,1230,47,840,20,91,19.5,1173,829,688,"RR","RR","USK","PBO",382,3,820,410,13,8,820,410,-0.207639364778244,0.445269065103013,13,820,8,410,0,FALSE,5,"PHOENIX2_2008","L",2008,1,0,1230,47,840,20,91,19.5,1173,829,688,"RR","RR","USK","PBO",382,3,820,410,13,8,820,410
"6","6","USK","PBO",3.38466807971094,1.00013660269171,30,61,1,60,0,FALSE,6,"PEARL_2011","L",2011,1,0,121,41,103,13,74,24,118,101,86,"RR","RR","USK","PBO",30,1,61,60,0,2,61,60,-1.62583172220978,1.53857431142553,0,61,2,60,0.5,FALSE,6,"PEARL_2011","L",2011,1,0,121,41,103,13,74,24,118,101,86,"RR","RR","USK","PBO",30,1,61,60,0,2,61,60
"7","7","PBO","SECU",-4.15525043843499,1.4108516896689,0,59,63,118,0.5,FALSE,7,"FEATURE_2015","L",2014,1,0,177,46,117,19,92,21,NA,NA,88,"RR","RR","PBO","SECU",0,63,59,118,1,4,59,118,-0.693147180559945,1.106605743337,1,59,4,118,0,FALSE,7,"FEATURE_2015","L",2014,1,0,177,46,117,19,92,21,NA,NA,88,"RR","RR","PBO","SECU",0,63,59,118,1,4,59,118
"8","8","SECU","PBO",3.70104998973419,0.575696904289882,240,490,3,248,0,FALSE,8,"ERASURE_2014","L",2014,1,0,738,45,509,17.5,89,22,NA,NA,361,"RR","RR","SECU","PBO",240,3,490,248,10,4,490,248,0.235314086934465,0.586452833234654,10,490,4,248,0,FALSE,8,"ERASURE_2014","L",2014,1,0,738,45,509,17.5,89,22,NA,NA,361,"RR","RR","SECU","PBO",240,3,490,248,10,4,490,248
"9","9","PBO","ETA",-2.59525470695687,0.456935885884634,5,326,67,326,0,FALSE,9,"FIXTURE_2014","L",2014,1,0,1306,44,929,16.5,83,23.5,NA,NA,796,"RR","RR","PBO","ETA",5,67,326,326,6,3,326,326,0.693147180559945,0.702755313515911,6,326,3,326,0,FALSE,9,"FIXTURE_2014","L",2014,1,0,1306,44,929,16.5,83,23.5,NA,NA,796,"RR","RR","PBO","ETA",5,67,326,326,6,3,326,326
"10","9","PBO","SECU",-3.43735530528489,0.445655238446474,5,326,312,654,0,FALSE,9,"FIXTURE_2014","L",2014,1,0,1306,44,929,16.5,83,23.5,NA,NA,796,"RR","RR","PBO","SECU",5,312,326,654,6,11,326,654,0.0900741665201756,0.502970397663136,6,326,11,654,0,FALSE,9,"FIXTURE_2014","L",2014,1,0,1306,44,929,16.5,83,23.5,NA,NA,796,"RR","RR","PBO","SECU",5,312,326,654,6,11,326,654
