Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating,Reason(s) for downgrading
ADA:BIME,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ADA:GUSEL,3,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ADA:PBO,8,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ADA:RISAN,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
APRE:ETA,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
APRE:PBO,5,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
BIME:PBO,3,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
BIME:SECU,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
BIME:USK,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
BRODA:PBO,5,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
BRODA:USK,2,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
CERTO:ETA,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
CERTO:PBO,5,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
CICLO:MTX,2,Major concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
DEUCRAVA:PBO,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ETA:IFX,1,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
ETA:IXE,2,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ETA:PBO,14,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ETA:SECU,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ETA:TILDRA,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[]
ETA:USK,1,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]"
FUM:MTX,1,Major concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]"
