unique_id,name,treat,rsae,n,bias,rpasi90m,nm,year_publication,co_intervention,sample_size,age,male,duration_pso,bmi,weight,pasi_score,previous_topical,previous_photo,previous_systemic,previous_bio,_merge
1,ACCEPT_2010,ETA,4,347,H,80,347,2010,0,903,45,613,19,,90,20,874,592,510,103,Matched (3)
1,ACCEPT_2010,USK,8,556,H,231,556,2010,0,903,45,613,19,,90,20,874,592,510,103,Matched (3)
2,Igarashi_2012,USK,3,126,M,48,126,2012,0,160,45,126,16,26,72,30,158,107,119,1,Matched (3)
2,Igarashi_2012,PBO,2,32,M,1,32,2012,0,160,45,126,16,26,72,30,158,107,119,1,Matched (3)
3,Krueger_2007,USK,9,256,L,95,256,2007,0,320,45,222,18,,93,19,,,,.,Matched (3)
3,Krueger_2007,PBO,1,64,L,1,64,2007,0,320,45,222,18,,93,19,,,,.,Matched (3)
4,PHOENIX1_2008,USK,6,511,L,200,511,2008,0,766,45,531,20,,93.5,20.5,726,492,424,392,Matched (3)
4,PHOENIX1_2008,PBO,2,255,L,5,255,2008,0,766,45,531,20,,93.5,20.5,726,492,424,392,Matched (3)
5,PHOENIX2_2008,PBO,8,410,L,3,410,2008,0,1230,47,840,20,,91,19.5,1173,829,688,466,Matched (3)
5,PHOENIX2_2008,USK,13,820,L,382,820,2008,0,1230,47,840,20,,91,19.5,1173,829,688,466,Matched (3)
6,PEARL_2011,USK,0,61,L,30,61,2011,0,121,41,103,13,,74,24,118,101,86,22,Matched (3)
6,PEARL_2011,PBO,2,60,L,1,60,2011,0,121,41,103,13,,74,24,118,101,86,22,Matched (3)
7,FEATURE_2015,SECU,4,118,L,63,118,2014,0,177,46,117,19,,92,21,,,88,77,Matched (3)
7,FEATURE_2015,PBO,1,59,L,0,59,2014,0,177,46,117,19,,92,21,,,88,77,Matched (3)
8,ERASURE_2014,SECU,10,490,L,240,490,2014,0,738,45,509,17.5,30,89,22,,,361,216,Matched (3)
8,ERASURE_2014,PBO,4,248,L,3,248,2014,0,738,45,509,17.5,30,89,22,,,361,216,Matched (3)
9,FIXTURE_2014,PBO,6,326,L,5,326,2014,0,1306,44,929,16.5,34,83,23.5,,,796,163,Matched (3)
9,FIXTURE_2014,ETA,3,326,L,67,326,2014,0,1306,44,929,16.5,34,83,23.5,,,796,163,Matched (3)
9,FIXTURE_2014,SECU,11,654,L,312,654,2014,0,1306,44,929,16.5,34,83,23.5,,,796,163,Matched (3)
10,Papp_2013a,SECU,3,103,H,20,103,2013,0,125,46,91,18,.,91,21,,84,77,36,Matched (3)
10,Papp_2013a,PBO,2,22,H,1,22,2013,0,125,46,91,18,.,91,21,,84,77,36,Matched (3)
11,Rich_2013,SECU,12,337,L,73,337,2013,0,404,44,306,17,.,,20.5,,263,292,119,Matched (3)
11,Rich_2013,PBO,1,67,L,1,67,2013,0,404,44,306,17,.,,20.5,,263,292,119,Matched (3)
14,Flystrom_2008,MTX,,41,H,4,41,2007,0,84,46.5,55,,.,86,15,,58,8,0,Matched (3)
14,Flystrom_2008,CICLO,,43,H,9,43,2007,0,84,46.5,55,,.,86,15,,58,8,0,Matched (3)
15,Heydendael_2003,CICLO,,44,H,14,44,2003,0,88,42.5,57,,.,,13.5,,71,13,na,Matched (3)
15,Heydendael_2003,MTX,,44,H,17,44,2003,0,88,42.5,57,,.,,13.5,,71,13,na,Matched (3)
17,EXPRESS_2005,IFX,17,301,L,172,301,2005,0,378,43,268,19,.,,23,,,,.,Matched (3)
17,EXPRESS_2005,PBO,2,77,L,1,77,2005,0,378,43,268,19,.,,23,,,,.,Matched (3)
18,Torii_2010,PBO,1,19,M,0,19,2010,0,54,45,36,13,25,69,32,54,36,,.,Matched (3)
18,Torii_2010,IFX,1,35,M,19,35,2010,0,54,45,36,13,25,69,32,54,36,,.,Matched (3)
19,Papp_2012a,BRODA,2,160,L,89,160,2012,0,198,42.5,127,19,30,90,19,187,110,141,78,Matched (3)
19,Papp_2012a,PBO,1,38,L,0,38,2012,0,198,42.5,127,19,30,90,19,187,110,141,78,Matched (3)
20,ESTEEM-1_2015,PBO,8,282,L,1,282,2015,0,844,46.5,573,19.5,31,93.5,19,,,314,242,Matched (3)
20,ESTEEM-1_2015,APRE,12,562,L,55,562,2015,0,844,46.5,573,19.5,31,93.5,19,,,314,242,Matched (3)
21,Asahina_2010,PBO,2,46,M,0,46,2010,0,169,45,143,14,.,70,28,163,43,71,0,Matched (3)
21,Asahina_2010,ADA,4,123,M,57,123,2010,0,169,45,143,14,.,70,28,163,43,71,0,Matched (3)
22,Gordon_2006,ADA,14,96,L,35,96,2006,0,148,44,99,20,.,95,16,,,,.,Matched (3)
22,Gordon_2006,PBO,0,52,L,0,52,2006,0,148,44,99,20,.,95,16,,,,.,Matched (3)
