unique_id,name,year_publication,treatclass,nMC,rPASI90MC,rSAEMC,age,perc_male,weight,pasi_score,bias
1,Griffith_2010_ACCEPT,2010,AIL1223,556,231,8,45,0.678848283,90,20,H
1,Griffith_2010_ACCEPT,2010,ATA,347,80,4,45,0.678848283,90,20,H
2,Igarashi_2012,2012,AIL1223,126,48,3,45,0.7875,72,30,M
2,Igarashi_2012,2012,PBO,32,1,2,45,0.7875,72,30,M
3,Krueger_2007,2007,AIL1223,256,95,9,45,0.69375,93,19,L
3,Krueger_2007,2007,PBO,64,1,1,45,0.69375,93,19,L
4,Leonardi_2008_PHOENIX1,2008,AIL1223,511,200,6,45,0.693211488,93.5,20.5,L
4,Leonardi_2008_PHOENIX1,2008,PBO,255,5,2,45,0.693211488,93.5,20.5,L
5,Papp_2008_PHOENIX2,2008,AIL1223,820,382,13,47,0.682926829,91,19.5,L
5,Papp_2008_PHOENIX2,2008,PBO,410,3,8,47,0.682926829,91,19.5,L
6,Tsai_2011_PEARL,2011,AIL1223,61,30,0,41,0.851239669,74,24,L
6,Tsai_2011_PEARL,2011,PBO,60,1,2,41,0.851239669,74,24,L
7,Papp_2012a,2012,PBO,50,0,0,44.5,0.634517766,91,22,L
7,Papp_2012a,2012,SM,147,32,4,44.5,0.634517766,91,22,L
8,Blauvelt_2015_FEATURE,2014,AIL17,118,63,4,46,0.661016949,92,21,L
8,Blauvelt_2015_FEATURE,2014,PBO,59,0,1,46,0.661016949,92,21,L
9,Langley_2014_ERASURE,2014,AIL17,490,240,10,45,0.689701897,89,22,L
9,Langley_2014_ERASURE,2014,PBO,248,3,4,45,0.689701897,89,22,L
10,Langley_2014_FIXTURE,2014,AIL17,654,312,11,44,0.711332312,83,23.5,L
10,Langley_2014_FIXTURE,2014,ATA,326,67,3,44,0.711332312,83,23.5,L
10,Langley_2014_FIXTURE,2014,PBO,326,5,6,44,0.711332312,83,23.5,L
11,Papp_2013a,2013,AIL17,103,20,3,46,0.728,91,21,H
11,Papp_2013a,2013,PBO,22,1,2,46,0.728,91,21,H
12,Rich_2013,2013,AIL17,337,73,12,44,0.757425743,.,20.5,L
12,Rich_2013,2013,PBO,67,1,1,44,0.757425743,.,20.5,L
18,Reich_2005_EXPRESS,2005,ATA,301,172,17,43,0.708994709,.,23,L
18,Reich_2005_EXPRESS,2005,PBO,77,1,2,43,0.708994709,.,23,L
19,Torii_2010,2010,ATA,35,19,1,45,0.666666667,69,32,M
19,Torii_2010,2010,PBO,19,0,1,45,0.666666667,69,32,M
20,Papp_2012,2012,AIL17,160,89,2,42.5,0.641414141,90,19,L
20,Papp_2012,2012,PBO,38,0,1,42.5,0.641414141,90,19,L
21,Papp_2015_ESTEEM-1,2015,PBO,282,1,8,46.5,0.678909953,93.5,19,L
21,Papp_2015_ESTEEM-1,2015,SM,562,55,12,46.5,0.678909953,93.5,19,L
22,Asahina_2010,2010,ATA,123,57,4,45,0.846153846,70,28,M
22,Asahina_2010,2010,PBO,46,0,2,45,0.846153846,70,28,M
23,Gordon_2006,2006,ATA,96,35,14,44,0.668918919,95,16,L
23,Gordon_2006,2006,PBO,52,0,0,44,0.668918919,95,16,L
24,Menter_2008_REVEAL,2008,ATA,814,366,15,44,0.662541254,93,19,L
24,Menter_2008_REVEAL,2008,PBO,398,9,7,44,0.662541254,93,19,L
26,Bagel_2012,2012,ATA,62,15,0,40.5,0.556451613,.,15.5,L
26,Bagel_2012,2012,PBO,62,1,0,40.5,0.556451613,.,15.5,L
