unique_id,studlab,rob,treat1,treat2,n1,n2,r1,r2,z1,z2
1,Griffith_2010_ACCEPT,H,ETA,USK,347,209,80,76,4,4
1,Griffith_2010_ACCEPT,H,ETA,USK,347,347,80,155,4,4
1,Griffith_2010_ACCEPT,H,USK,USK,209,347,76,155,4,4
2,Igarashi_2012,M,USK,PBO,64,32,21,1,0,2
2,Igarashi_2012,M,USK,PBO,62,32,27,1,3,2
2,Igarashi_2012,M,USK,USK,64,62,21,27,0,3
3,Krueger_2007,L,USK,PBO,128,64,43,1,5,1
3,Krueger_2007,L,USK,PBO,128,64,52,1,4,1
3,Krueger_2007,L,USK,USK,128,128,43,52,5,4
4,Leonardi_2008_PHOENIX1,L,USK,PBO,255,255,106,5,2,2
4,Leonardi_2008_PHOENIX1,L,USK,PBO,256,255,94,5,4,2
4,Leonardi_2008_PHOENIX1,L,USK,USK,255,256,106,94,2,4
5,Papp_2008_PHOENIX2,L,USK,PBO,409,410,173,3,8,8
5,Papp_2008_PHOENIX2,L,USK,PBO,411,410,209,3,5,8
5,Papp_2008_PHOENIX2,L,USK,USK,409,411,173,209,8,5
6,Tsai_2011_PEARL,L,USK,PBO,61,60,30,1,0,2
7,Papp_2012a,L,TOFA,PBO,98,50,16,0,3,0
7,Papp_2012a,L,TOFA,PBO,49,50,16,0,1,0
7,Papp_2012a,L,TOFA,TOFA,98,49,16,16,3,1
8,Blauvelt_2015_FEATURE,L,SECU,PBO,59,59,27,0,1,1
8,Blauvelt_2015_FEATURE,L,SECU,PBO,59,59,36,0,3,1
8,Blauvelt_2015_FEATURE,L,SECU,SECU,59,59,27,36,1,3
9,Langley_2014_ERASURE,L,SECU,PBO,245,248,95,3,4,4
9,Langley_2014_ERASURE,L,SECU,PBO,245,248,145,3,6,4
9,Langley_2014_ERASURE,L,SECU,SECU,245,245,95,145,4,6
10,Langley_2014_FIXTURE,L,ETA,PBO,326,326,67,5,3,6
10,Langley_2014_FIXTURE,L,SECU,PBO,327,326,137,5,7,6
10,Langley_2014_FIXTURE,L,SECU,PBO,327,326,175,5,4,6
