,studlab,treat1,treat2,id,TE,seTE,type_outcome1,n1,n2,rob,TE2,seTE2,type_outcome2,n21,n22,treat1_class,treat2_class,year,age
1,Asahina_2010,ADA,PBO,22,3.622039436,1.418678602,binary,43,46,M,0.472906389,0.88788422,binary,43,46,ATA,PBO,2010,45
2,Bachelez_2015,ETA,PBO,69,3.547151294,0.998510796,binary,336,108,L,0.117783036,0.794116927,binary,336,108,ATA,PBO,2015,45
3,Bachelez_2015,ETA,TOFA,69,-0.108968457,0.108048054,binary,336,332,L,0.324496046,0.580404087,binary,336,332,ATA,SM,2015,45
4,Bachelez_2015,PBO,TOFA,69,-3.656119751,0.998064153,binary,108,332,L,0.20671301,0.829294093,binary,108,332,PBO,SM,2015,45
5,Bagel_2012,ETA,PBO,26,2.708050201,1.0170588,binary,62,62,L,NA,NA,binary,62,62,ATA,PBO,2012,47
6,Bagel_2018_CLARITY,SECU,USK,103,0.345819028,0.045716545,binary,550,552,L,0.44546252,0.42297743,binary,550,552,AIL17,AIL1223,2018,41
7,Blauvelt_2015_FEATURE,PBO,SECU,8,-4.290459441,1.412014099,binary,59,59,L,-1.098612289,1.139927642,binary,59,59,PBO,AIL17,2015,44.5
8,Blauvelt_2016_VOYAGE1,ADA,GUSEL,100,-0.387892387,0.06434243,binary,334,329,L,-0.302765315,0.534446575,binary,334,329,ATA,AIL23,2016,46
9,Blauvelt_2016_VOYAGE1,ADA,PBO,100,2.850464182,0.444165462,binary,334,174,L,0.041061487,0.70089861,binary,334,174,ATA,PBO,2016,45
10,Blauvelt_2016_VOYAGE1,GUSEL,PBO,100,3.23835657,0.441998572,binary,329,174,L,0.343826801,0.670482433,binary,329,174,AIL23,PBO,2016,44
11,Cai_2016,ADA,PBO,84,2.780691897,0.569385326,binary,338,87,L,-1.069455704,0.754241673,binary,338,87,ATA,PBO,2016,44
12,Chaudhari_2001,IFX,PBO,40,NA,NA,binary,11,11,L,NA,NA,binary,11,11,ATA,PBO,2001,44
13,deVries_2016_PIECE,ETA,IFX,83,-2.219203484,1.008227028,binary,23,25,H,0.083381609,1.384384968,binary,23,25,ATA,ATA,2016,46
14,Elewski_2018,ADA,PBO,105,1.895020798,0.381706913,binary,109,108,L,0.460786974,0.553684413,binary,109,108,ATA,PBO,2018,44
15,Ellis_1991,CICLO,PBO,14,NA,NA,binary,60,25,M,NA,NA,binary,60,25,CSA,PBO,1991,46.5
16,EUCTR2015-003623-65-DE  ,ADA,RISAN,138,-0.4245992,0.070141768,binary,304,301,L,-0.115277952,0.452216075,binary,304,301,ATA,AIL23,,42.5
17,Fallaharani_2011,FUM,MTX,36,-0.693147181,1.197219,binary,30,30,H,NA,NA,binary,30,30,CSA,CSA,2011,42.5
18,"Ferris ORION, 2019  ",GUSEL,PBO,121,3.222070716,1.39443414,binary,62,16,L,0.277631737,1.524268329,binary,62,16,AIL23,PBO,2019,43
19,Flystrom_2007,CICLO,MTX,15,0.763302167,0.559879499,binary,43,41,H,NA,NA,binary,43,41,CSA,CSA,2007,45
21,"Gordon UltIMMa-1, 2018  ",PBO,RISAN,107,-2.732229203,0.437348164,binary,102,304,L,0.244757028,0.680512366,binary,102,304,PBO,AIL23,2018,46.5
22,"Gordon UltIMMa-1, 2018  ",PBO,USK,107,-2.128231706,0.451886801,binary,102,102,L,-0.980829253,0.662363563,binary,102,102,PBO,AIL1223,2018,45
23,"Gordon UltIMMa-1, 2018  ",RISAN,USK,107,0.603997497,0.122812625,binary,304,102,L,-1.225586281,0.504741268,binary,304,102,AIL23,AIL1223,2018,44
