unique_id,name,treat,treat_class,rsae,n,bias,rpasi90m,nm,year_publication,co_intervention,sample_size,age,male,duration_pso,bmi,weight,pasi_score,previous_topical,previous_photo,previous_systemic,previous_bio
1,ACCEPT_2010,ETA,ATA,4,347,H,80,347,2010,0,903,45,613,19,,90,20,874,592,510,103
1,ACCEPT_2010,USK,AIL1223,8,556,H,231,556,2010,0,903,45,613,19,,90,20,874,592,510,103
2,Igarashi_2012,USK,AIL1223,3,126,M,48,126,2012,0,160,45,126,16,26,72,30,158,107,119,1
2,Igarashi_2012,PBO,PBO,2,32,M,1,32,2012,0,160,45,126,16,26,72,30,158,107,119,1
3,Krueger_2007,USK,AIL1223,9,256,L,95,256,2007,0,320,45,222,18,,93,19,,,,.
3,Krueger_2007,PBO,PBO,1,64,L,1,64,2007,0,320,45,222,18,,93,19,,,,.
4,PHOENIX1_2008,USK,AIL1223,6,511,L,200,511,2008,0,766,45,531,20,,93.5,20.5,726,492,424,392
4,PHOENIX1_2008,PBO,PBO,2,255,L,5,255,2008,0,766,45,531,20,,93.5,20.5,726,492,424,392
5,PHOENIX2_2008,PBO,PBO,8,410,L,3,410,2008,0,1230,47,840,20,,91,19.5,1173,829,688,466
5,PHOENIX2_2008,USK,AIL1223,13,820,L,382,820,2008,0,1230,47,840,20,,91,19.5,1173,829,688,466
6,PEARL_2011,USK,AIL1223,0,61,L,30,61,2011,0,121,41,103,13,,74,24,118,101,86,22
6,PEARL_2011,PBO,PBO,2,60,L,1,60,2011,0,121,41,103,13,,74,24,118,101,86,22
7,FEATURE_2015,SECU,AIL17,4,118,L,63,118,2014,0,177,46,117,19,,92,21,,,88,77
7,FEATURE_2015,PBO,PBO,1,59,L,0,59,2014,0,177,46,117,19,,92,21,,,88,77
8,ERASURE_2014,SECU,AIL17,10,490,L,240,490,2014,0,738,45,509,17.5,30,89,22,,,361,216
8,ERASURE_2014,PBO,PBO,4,248,L,3,248,2014,0,738,45,509,17.5,30,89,22,,,361,216
9,FIXTURE_2014,PBO,PBO,6,326,L,5,326,2014,0,1306,44,929,16.5,34,83,23.5,,,796,163
9,FIXTURE_2014,ETA,ATA,3,326,L,67,326,2014,0,1306,44,929,16.5,34,83,23.5,,,796,163
9,FIXTURE_2014,SECU,AIL17,11,654,L,312,654,2014,0,1306,44,929,16.5,34,83,23.5,,,796,163
10,Papp_2013a,SECU,AIL17,3,103,H,20,103,2013,0,125,46,91,18,.,91,21,,84,77,36
10,Papp_2013a,PBO,PBO,2,22,H,1,22,2013,0,125,46,91,18,.,91,21,,84,77,36
11,Rich_2013,SECU,AIL17,12,337,L,73,337,2013,0,404,44,306,17,.,,20.5,,263,292,119
11,Rich_2013,PBO,PBO,1,67,L,1,67,2013,0,404,44,306,17,.,,20.5,,263,292,119
14,Flystrom_2008,MTX,CSA,,41,H,4,41,2007,0,84,46.5,55,,.,86,15,,58,8,0
14,Flystrom_2008,CICLO,CSA,,43,H,9,43,2007,0,84,46.5,55,,.,86,15,,58,8,0
15,Heydendael_2003,CICLO,CSA,,44,H,14,44,2003,0,88,42.5,57,,.,,13.5,,71,13,na
15,Heydendael_2003,MTX,CSA,,44,H,17,44,2003,0,88,42.5,57,,.,,13.5,,71,13,na
17,EXPRESS_2005,IFX,ATA,17,301,L,172,301,2005,0,378,43,268,19,.,,23,,,,.
17,EXPRESS_2005,PBO,PBO,2,77,L,1,77,2005,0,378,43,268,19,.,,23,,,,.
18,Torii_2010,PBO,PBO,1,19,M,0,19,2010,0,54,45,36,13,25,69,32,54,36,,.
18,Torii_2010,IFX,ATA,1,35,M,19,35,2010,0,54,45,36,13,25,69,32,54,36,,.
19,Papp_2012a,BRODA,AIL17,2,160,L,89,160,2012,0,198,42.5,127,19,30,90,19,187,110,141,78
19,Papp_2012a,PBO,PBO,1,38,L,0,38,2012,0,198,42.5,127,19,30,90,19,187,110,141,78
20,ESTEEM-1_2015,PBO,PBO,8,282,L,1,282,2015,0,844,46.5,573,19.5,31,93.5,19,,,314,242
20,ESTEEM-1_2015,APRE,SM,12,562,L,55,562,2015,0,844,46.5,573,19.5,31,93.5,19,,,314,242
21,Asahina_2010,PBO,PBO,2,46,M,0,46,2010,0,169,45,143,14,.,70,28,163,43,71,0
21,Asahina_2010,ADA,ATA,4,123,M,57,123,2010,0,169,45,143,14,.,70,28,163,43,71,0
22,Gordon_2006,ADA,ATA,14,96,L,35,96,2006,0,148,44,99,20,.,95,16,,,,.
22,Gordon_2006,PBO,PBO,0,52,L,0,52,2006,0,148,44,99,20,.,95,16,,,,.
23,REVEAL_2008,PBO,PBO,7,398,L,9,398,2008,0,1212,44,803,18,.,93,19,908,197,276,150
23,REVEAL_2008,ADA,ATA,15,814,L,366,814,2008,0,1212,44,803,18,.,93,19,908,197,276,150
25,Bagel 2012,PBO,PBO,,62,L,1,62,2012,0,124,40.5,69,15,30,,15.5,,,,.
25,Bagel 2012,ETA,ATA,,62,L,15,62,2012,0,124,40.5,69,15,30,,15.5,,,,.
28,Gottlieb_2003a,ETA,ATA,2,57,H,,57,2003,0,112,47.5,70,21.5,.,91.5,19,,97,82,.
28,Gottlieb_2003a,PBO,PBO,2,55,H,,55,2003,0,112,47.5,70,21.5,.,91.5,19,,97,82,.
29,Leonardi_2003,ETA,ATA,,504,L,60,504,2003,0,672,45,439,19,.,,18,,,,.
29,Leonardi_2003,PBO,PBO,,168,L,1,168,2003,0,672,45,439,19,.,,18,,,,.
30,Papp_2005,PBO,PBO,,204,M,1,204,2005,0,611,45,382,19,.,,16.5,,,,.
30,Papp_2005,ETA,ATA,,407,M,59,407,2005,0,611,45,382,19,.,,16.5,,,,.
31,Tyring_2006,PBO,PBO,3,309,L,4,309,2006,0,620,46,419,20,.,,18,,,,.
31,Tyring_2006,ETA,ATA,6,311,L,65,311,2006,0,620,46,419,20,.,,18,,,,.
32,Vandekerkhof_2008,PBO,PBO,3,46,L,1,46,2008,0,143,45,84,18,.,,21,,,,.
32,Vandekerkhof_2008,ETA,ATA,2,96,L,13,96,2008,0,143,45,84,18,.,,21,,,,.
35,Fallaharani_2011,MTX,CSA,,30,H,2,30,2011,0,60,42,36,16.5,;,85,16.5,50,29,33,4
35,Fallaharani_2011,FUM,CSA,,30,H,1,30,2011,0,60,42,36,16.5,;,85,16.5,50,29,33,4
38,Leonardi_2012,PBO,PBO,1,27,L,0,27,2012,0,142,46,81,16,.,93,18,,,,.
38,Leonardi_2012,IXE,AIL17,2,115,L,57,115,2012,0,142,46,81,16,.,93,18,,,,.
40,EXPRESS-II_2007,PBO,PBO,5,208,L,1,208,2007,0,835,44,551,18,.,92,20,768,,,117
40,EXPRESS-II_2007,IFX,ATA,12,627,L,258,627,2007,0,835,44,551,18,.,92,20,768,,,117
