studlab,treat1,treat2,TE,seTE,n1,n2,rob,type_outcome1,TE2,treat1_2,treat2_2,seTE2,type_outcome2,year_publication,r1,r2,z1,z2,male,sample_size,n2.1,n2.2,perc of males,age,treat1_class,treat2_class,year
1,ETA,USK,-0.455697234,0.13413188,347,209,3,binary,-0.506990528,ETA,USK,0.701664782,binary,2010,80,76,4,4,613,903,347,209,0.678848283,45,1,1,2010
2,PBO,USK,-2.319626559,0.999867983,31,64,2,binary,2.32611559,PBO,USK,1.533867691,binary,2012,1,21,2,0,126,160,31,64,0.7875,45,1,1,2012
3,PBO,USK,-3.068052935,0.999909153,64,128,1,binary,-0.916290732,PBO,USK,1.084694657,binary,2007,1,43,1,5,222,320,64,128,0.69375,45,1,1,2007
4,PBO,USK,-3.054001182,0.448988669,255,255,1,binary,0,PBO,USK,0.996070712,binary,2008,5,106,2,2,531,766,255,255,0.693211488,45,1,1,2008
5,PBO,USK,-4.057121309,0.578125997,410,409,1,binary,-0.002442004,PBO,USK,0.495091898,binary,2008,3,173,8,8,840,1230,410,409,0.682926829,47,1,1,2008
6,PBO,USK,-3.38466808,1.000136603,60,61,1,binary,1.625831722,PBO,USK,1.538574311,binary,2011,1,30,2,0,103,121,60,61,0.851239669,41,1,1,2011
7,PBO,TOFA,-3.5369171,1.421332306,50,48,1,binary,-1.139021827,PBO,TOFA,1.620569693,binary,2012,0,16,0,1,125,197,50,48,0.634517766,44.5,1,2,2012
8,PBO,SECU,-4.290459441,1.412014099,59,59,1,binary,-1.098612289,PBO,SECU,1.139927642,binary,2014,0,36,1,3,117,177,59,59,0.661016949,46,1,1,2014
9,PBO,SECU,-3.890291989,0.576295058,248,245,1,binary,-0.417635644,PBO,SECU,0.639181333,binary,2014,3,145,4,6,509,738,248,245,0.689701897,45,1,1,2014
10,ETA,PBO,2.595254707,0.456935886,326,326,1,binary,-0.693147181,ETA,PBO,0.702755314,binary,2014,67,5,3,6,929,1306,326,326,0.711332312,44,1,1,2014
10,ETA,SECU,-0.957030565,0.120474355,326,327,1,binary,-0.284619283,ETA,SECU,0.759741893,binary,2014,67,175,3,4,929,1306,326,327,0.711332312,44,1,1,2014
10,PBO,SECU,-3.552285272,0.446753508,326,327,1,binary,0.408527898,PBO,SECU,0.640734795,binary,2014,5,175,6,4,929,1306,326,327,0.711332312,44,1,1,2014
11,PBO,SECU,-1.452045739,0.997415017,22,103,3,binary,1.138221427,PBO,SECU,0.882139473,binary,2013,1,20,2,3,91,125,22,103,0.728,46,1,1,2013
12,PBO,SECU,-2.67506913,0.997900746,67,337,1,binary,-0.869516339,PBO,SECU,1.032201822,binary,2013,1,73,1,12,306,404,67,337,0.757425743,44,1,1,2013
15,CICLO,MTX,0.987860924,0.549386949,31,37,3,binary,,CICLO,MTX,,binary,2007,9,4,0,0,55,84,31,37,0.654761905,46.5,1,1,2007
16,CICLO,MTX,-0.170625517,0.288421156,42,43,3,binary,,CICLO,MTX,,binary,2003,14,17,0,0,57,88,42,43,0.647727273,42.5,1,1,2003
17,CICLO,MTX,-0.773189888,0.332048807,15,15,3,binary,,CICLO,MTX,,binary,2003,6,13,,,25,30,15,15,0.833333333,42.5,1,1,2003
18,IFX,PBO,3.784189634,0.994738499,301,77,1,binary,0.776761321,IFX,PBO,0.736555672,binary,2005,172,1,17,2,268,378,301,77,0.708994709,43,1,1,2005
19,IFX,PBO,3.064443415,1.404218995,35,19,2,binary,-0.610909082,IFX,PBO,1.38520648,binary,2010,19,0,1,1,36,54,35,19,0.666666667,45,1,1,2010
20,BRODA,PBO,4.060230131,1.407878369,40,38,1,binary,-0.051293294,BRODA,PBO,1.395952797,binary,2012,30,0,1,1,127,198,40,38,0.641414141,42.5,1,1,2012
21,APRE,PBO,3.317738406,1.006407651,562,282,1,binary,-0.284129671,APRE,PBO,0.450563952,binary,2015,55,1,12,8,573,844,562,282,0.678909953,46.5,1,1,2015
22,ADA,PBO,3.622039436,1.418678602,43,46,2,binary,0.472906389,ADA,PBO,0.88788422,binary,2010,17,0,3,2,143,169,43,46,0.846153846,45,1,1,2010
23,ADA,PBO,3.27859506,1.430360402,45,52,1,binary,2.089010993,ADA,PBO,1.498228502,binary,2006,11,0,3,0,99,148,45,52,0.668918919,44,1,1,2006
24,ADA,PBO,2.989900395,0.331816647,814,398,1,binary,0.046631691,ADA,PBO,0.453632831,binary,2008,366,9,15,7,803,1212,814,398,0.662541254,44,1,1,2008
25,ADA,MTX,1.317632123,0.257872675,108,110,1,binary,0.711496319,ADA,MTX,1.217230394,binary,2007,55,15,2,1,178,271,108,110,0.656826568,42,1,1,2007
25,ADA,PBO,1.503734402,0.395880413,108,53,1,binary,-0.018692133,ADA,PBO,1.213207656,binary,2007,55,6,2,1,178,271,108,53,0.656826568,42,1,1,2007
25,MTX,PBO,0.18610228,0.453182634,110,53,1,binary,-0.730188452,MTX,PBO,1.404293832,binary,2007,15,6,1,1,178,271,110,53,0.656826568,42,1,1,2007
26,ETA,PBO,,,,,1,binary,,ETA,PBO,,binary,2012,15,1,0,0,69,124,,,0.556451613,40.5,1,1,2012
29,ETA,PBO,,,57,55,3,binary,-0.035718083,ETA,PBO,0.981974705,binary,2003,,,2,2,70,112,57,55,0.625,47.5,1,1,2003
30,ETA,PBO,3.607910392,1.00776031,162,166,1,binary,,ETA,PBO,,binary,2003,36,1,,,439,672,162,166,0.65327381,45,1,1,2003
31,ETA,PBO,3.658393676,1.007623461,194,193,2,binary,,ETA,PBO,,binary,2005,39,1,,,382,611,194,193,0.625204583,45,1,1,2005
32,ETA,PBO,2.775147744,0.508833816,311,307,1,binary,0.680202016,ETA,PBO,0.702514937,binary,2006,65,4,6,3,419,620,311,307,0.675806452,46,1,1,2006
33,ETA,PBO,1.829242562,1.022138582,96,46,1,binary,-1.141171903,ETA,PBO,0.895085212,binary,2008,13,1,2,3,84,143,96,46,0.587412587,45,1,1,2008
34,MTX,PBO,0.028170877,0.060972349,38,38,3,binary,,MTX,PBO,,binary,2014,36,35,,,62,120,38,38,0.516666667,41,1,1,2014
35,MTX,PBO,0.646627165,0.294244943,10,10,2,binary,-1.098612289,MTX,PBO,1.573591585,binary,2006,10,5,0,1,15,24,10,10,0.625,44,1,1,2006
36,FUM,MTX,-0.732367894,1.192282878,26,25,3,binary,,FUM,MTX,,binary,2011,1,2,0,0,36,60,26,25,0.6,42,1,1,2011
37,MTX,PBO,0.472359343,0.108233042,212,204,1,binary,-0.443931389,MTX,PBO,0.907587126,binary,2012,125,75,2,3,320,478,212,204,0.669456067,44,1,1,2012
38,MTX,PBO,,,20,20,3,binary,,MTX,PBO,,binary,2010,,,,,29,40,20,20,0.725,27,1,1,2010
39,IXE,PBO,3.272806331,1.403922165,115,26,1,binary,-0.79368841,IXE,PBO,1.205339292,binary,2012,57,0,2,1,81,142,115,26,0.570422535,46,1,1,2012
40,IFX,PBO,,,11,11,1,binary,,IFX,PBO,,binary,2001,,,0,0,23,33,11,11,0.696969697,44,1,1,2001
41,IFX,PBO,4.543972151,0.999524811,314,208,1,binary,0.175931759,IFX,PBO,0.550562172,binary,2007,142,1,9,5,551,835,314,208,0.65988024,44,1,1,2007
42,IFX,MTX,1.050419563,0.144971295,653,215,3,binary,0.881491064,IFX,MTX,0.428031988,binary,2011,356,41,44,6,586,868,653,215,0.675115207,43,1,1,2011
43,IFX,PBO,3.37975705,0.993898891,99,51,1,binary,2.174637508,IFX,PBO,1.445053401,binary,2004,57,1,8,0,174,249,99,51,0.698795181,44,1,1,2004
44,FUM,PBO,1.977162693,1.424570711,22,12,3,binary,,FUM,PBO,,binary,1990,6,0,,,,39,22,12,#VALUE!,,1,1,1990
45,ADA,PBO,,,20,10,2,binary,0.940388283,ADA,PBO,1.501992482,binary,2013,,,2,0,23,30,20,10,0.766666667,56.5,1,1,2013
51,MTX,PBO,0.990398704,1.599450455,19,17,3,binary,,MTX,PBO,,binary,1963,1,0,0,0,,41,19,17,#VALUE!,,1,1,1963
52,CICLO,MTX,,,5,5,3,binary,,CICLO,MTX,,binary,2003,,,,,7,10,5,5,0.7,43,1,1,2003
53,CERTO,PBO,3.278742433,1.001422241,59,58,1,binary,1.592343479,CERTO,PBO,1.079726571,binary,2012,27,1,5,1,123,176,59,58,0.698863636,43,1,1,2012
55,MTX,PBO,,,20,20,3,binary,,MTX,PBO,,binary,2004,,,,,,40,20,20,#VALUE!,,1,1,2004
56,IFX,PBO,3.95567177,1.409541136,84,45,3,binary,0.47957308,IFX,PBO,1.622607262,binary,2012,48,0,1,0,95,129,84,45,0.736434109,40,1,1,2012
59,CICLO,PBO,,,81,39,3,binary,1.673592924,CICLO,PBO,1.464319565,binary,1997,,,5,0,,127,81,39,#VALUE!,,1,1,1997
60,PBO,USK,,,162,160,2,binary,-0.01242252,PBO,USK,1.409814584,binary,2013,,,1,1,248,322,162,160,0.770186335,40,1,1,2013
67,APRE,PBO,1.791759469,0.728503783,274,137,1,binary,-0.182321557,APRE,PBO,0.722761668,binary,2015,24,2,5,3,276,413,274,137,0.668280872,45.5,1,1,2015
69,ETA,PBO,3.54082953,0.998463014,335,107,1,binary,0.111461271,ETA,PBO,0.794056845,binary,2015,108,1,7,2,738,1106,335,107,0.667269439,44,1,1,2015
69,ETA,TOFA,-0.112030143,0.107922393,335,330,1,binary,0.321434359,ETA,TOFA,0.580380707,binary,2015,108,119,7,5,738,1106,335,330,0.667269439,44,1,2,2015
