studlab,id,treat1,treat2,TE1,seTE1,pasi90,n11,sae,n21,co_intervention.x,sample_size.x,age1,age2,male1,male2,duration_pso.x,bmi1,bmi2,weight1,weight2,previous_topical,previous_photo,previous_systemic,previous_bio,treat1_class,treat2_class,TE2,seTE2,year,bias,rob,n12,n22,outcome1_direction,outcome2_direction
ACCEPT_2010,1,ETA,USK,-0.588947562,0.110220682,80,347,231,556,0,903,45,45,613,613,19,,,90,90,874,592,510,103,ATA,AIL1223,-0.221703666,0.608538901,2010,H,3,347,556,beneficial,harmful
Igarashi_2012,2,USK,PBO,2.500655007,0.990780917,48,126,1,32,0,160,45,45,126,126,16,26,26,72,72,158,107,119,1,AIL1223,PBO,-0.965080896,0.89114916,2012,M,2,126,32,beneficial,harmful
Krueger_2007,3,USK,PBO,3.16758253,0.995487351,95,256,1,64,0,320,45,45,222,222,18,,,93,93,NA,NA,NA,.,AIL1223,PBO,0.810930216,1.044786993,2007,L,1,256,64,beneficial,harmful
PHOENIX1_2008,4,USK,PBO,2.993773409,0.446230304,200,511,5,255,0,766,45,45,531,531,20,,,93.5,93.5,726,492,424,392,AIL1223,PBO,0.403506244,0.812888769,2008,L,1,511,255,beneficial,harmful
PHOENIX2_2008,5,PBO,USK,-4.153661139,0.576448261,3,410,382,820,0,1230,47,47,840,840,20,,,91,91,1173,829,688,466,PBO,AIL1223,0.207639365,0.445269065,2008,L,1,410,820,beneficial,harmful
PEARL_2011,6,USK,PBO,3.38466808,1.000136603,30,61,1,60,0,121,41,41,103,103,13,,,74,74,118,101,86,22,AIL1223,PBO,-1.625831722,1.538574311,2011,L,1,61,60,beneficial,harmful
FEATURE_2015,7,SECU,PBO,4.155250438,1.41085169,63,118,0,59,0,177,46,46,117,117,19,,,92,92,NA,NA,88,77,AIL17,PBO,0.693147181,1.106605743,2014,L,1,118,59,beneficial,harmful
ERASURE_2014,8,SECU,PBO,3.70104999,0.575696904,240,490,3,248,0,738,45,45,509,509,17.5,30,30,89,89,NA,NA,361,216,AIL17,PBO,0.235314087,0.586452833,2014,L,1,490,248,beneficial,harmful
FIXTURE_2014,9,PBO,ETA,-2.595254707,0.456935886,5,326,67,326,0,1306,44,44,929,929,16.5,34,34,83,83,NA,NA,796,163,PBO,ATA,0.693147181,0.702755314,2014,L,1,326,326,beneficial,harmful
FIXTURE_2014,9,PBO,SECU,-3.437355305,0.445655238,5,326,312,654,0,1306,44,44,929,929,16.5,34,34,83,83,NA,NA,796,163,PBO,AIL17,0.090074167,0.502970398,2014,L,1,326,654,beneficial,harmful
FIXTURE_2014,9,ETA,SECU,-0.842100598,0.116335569,67,326,312,654,0,1306,44,44,929,929,16.5,34,34,83,83,NA,NA,796,163,ATA,AIL17,-0.603073014,0.647800809,2014,L,1,326,654,beneficial,harmful
Papp_2013a,10,SECU,PBO,1.452045739,0.997415017,20,103,1,22,0,125,46,46,91,91,18,.,.,91,91,NA,84,77,36,AIL17,PBO,-1.138221427,0.882139473,2013,H,3,103,22,beneficial,harmful
Rich_2013,11,SECU,PBO,2.67506913,0.997900746,73,337,1,67,0,404,44,44,306,306,17,.,.,NA,NA,NA,263,292,119,AIL17,PBO,0.869516339,1.032201822,2013,L,1,337,67,beneficial,harmful
Flystrom_2008,14,MTX,CICLO,-0.763302167,0.559879499,4,41,9,43,0,84,46.5,46.5,55,55,NA,.,.,86,86,NA,58,8,0,CSA,CSA,NA,NA,2007,H,3,41,43,beneficial,harmful
Heydendael_2003,15,CICLO,MTX,-0.194156014,0.291200198,14,44,17,44,0,88,42.5,42.5,57,57,NA,.,.,NA,NA,NA,71,13,na,CSA,CSA,NA,NA,2003,H,3,44,44,beneficial,harmful
EXPRESS_2005,17,IFX,PBO,3.784189634,0.994738499,172,301,1,77,0,378,43,43,268,268,19,.,.,NA,NA,NA,NA,NA,.,ATA,PBO,0.776761321,0.736555672,2005,L,1,301,77,beneficial,harmful
Torii_2010,18,PBO,IFX,-3.064443415,1.404218995,0,19,19,35,0,54,45,45,36,36,13,25,25,69,69,54,36,NA,.,PBO,ATA,0.610909082,1.38520648,2010,M,2,19,35,beneficial,harmful
Papp_2012a,19,BRODA,PBO,3.759750105,1.406758198,89,160,0,38,0,198,42.5,42.5,127,127,19,30,30,90,90,187,110,141,78,AIL17,PBO,-0.744440475,1.211376989,2012,L,1,160,38,beneficial,harmful
ESTEEM-1_2015,20,PBO,APRE,-3.317738406,1.006407651,1,282,55,562,0,844,46.5,46.5,573,573,19.5,31,31,93.5,93.5,NA,NA,314,242,PBO,SM,0.284129671,0.450563952,2015,L,1,282,562,beneficial,harmful
Asahina_2010,21,PBO,ADA,-3.768143285,1.409889628,0,46,57,123,0,169,45,45,143,143,14,.,.,70,70,163,43,71,0,PBO,ATA,0.290395778,0.848605202,2010,M,2,46,123,beneficial,harmful
Gordon_2006,22,ADA,PBO,3.653950038,1.413774629,35,96,0,52,0,148,44,44,99,99,20,.,.,95,95,NA,NA,NA,.,ATA,PBO,2.758565991,1.428129967,2006,L,1,96,52,beneficial,harmful
REVEAL_2008,23,PBO,ADA,-2.989900395,0.331816647,9,398,366,814,0,1212,44,44,803,803,18,.,.,93,93,908,197,276,150,PBO,ATA,-0.046631691,0.453632831,2008,L,1,398,814,beneficial,harmful
Bagel 2012,25,PBO,ETA,-2.708050201,1.0170588,1,62,15,62,0,124,40.5,40.5,69,69,15,30,30,NA,NA,NA,NA,NA,.,PBO,ATA,NA,NA,2012,L,1,62,62,beneficial,harmful
Gottlieb_2003a,28,ETA,PBO,NA,NA,NA,57,NA,55,0,112,47.5,47.5,70,70,21.5,.,.,91.5,91.5,NA,97,82,.,ATA,PBO,-0.035718083,0.981974705,2003,H,3,57,55,beneficial,harmful
