"","studlab","treat1","treat2","TE","seTE","event1.x","n1","event2.x","n2","incr.x","allstudies.x","studlab.orig.x","name.x","rob.x","year.x","co_intervention.x","sample_size.x","age.x","male.x","duration_pso.x","bmi.x","weight.x","pasi_score.x","previous_topical.x","previous_photo.x","previous_systemic.x","previous_bio.x","X_merge.x","effect_size1","effect_size2","treat.orig1.x","treat.orig2.x","z11.x","z12.x","n.orig1.x","n.orig2.x","r1.x","r2.x","n.orig.11.x","n.orig.12.x","nz1.x","nz2.x","TE2","seTE2","event1.y","n1.y","event2.y","n2.y","incr.y","allstudies.y","studlab.orig.y","name.y","rob.y","year.y","co_intervention.y","sample_size.y","age.y","male.y","duration_pso.y","bmi.y","weight.y","pasi_score.y","previous_topical.y","previous_photo.y","previous_systemic.y","previous_bio.y","X_merge.y","effect_size1.y","effect_size2.y","treat.orig1.y","treat.orig2.y","z11.y","z12.y","n.orig1.y","n.orig2.y","r1.y","r2.y","n.orig.11.y","n.orig.12.y","n2.1","n2.2","year","rob"
"1","1","ETA","USK",-0.588947561544189,0.110220682258466,80,347,231,556,0,FALSE,1,"ACCEPT_2010","H",2010,0,903,45,613,19,"",90,20,874,592,510,"103","Matched (3)","RR","RR","ETA","USK",4,8,347,556,80,231,347,556,347,556,-0.221703666256222,0.608538901360067,4,347,8,556,0,FALSE,1,"ACCEPT_2010","H",2010,0,903,45,613,19,"",90,20,874,592,510,"103","Matched (3)","RR","RR","ETA","USK",4,8,347,556,80,231,347,556,347,556,2010,"H"
"2","2","USK","PBO",2.50065500675614,0.990780916952292,48,126,1,32,0,FALSE,2,"Igarashi_2012","M",2012,0,160,45,126,16,"26",72,30,158,107,119,"1","Matched (3)","RR","RR","USK","PBO",3,2,126,32,48,1,126,32,126,32,-0.965080896043587,0.891149160015777,3,126,2,32,0,FALSE,2,"Igarashi_2012","M",2012,0,160,45,126,16,"26",72,30,158,107,119,"1","Matched (3)","RR","RR","USK","PBO",3,2,126,32,48,1,126,32,126,32,2012,"M"
"3","3","USK","PBO",3.16758253048065,0.995487350893759,95,256,1,64,0,FALSE,3,"Krueger_2007","L",2007,0,320,45,222,18,"",93,19,NA,NA,NA,".","Matched (3)","RR","RR","USK","PBO",9,1,256,64,95,1,256,64,256,64,0.810930216216329,1.04478699317665,9,256,1,64,0,FALSE,3,"Krueger_2007","L",2007,0,320,45,222,18,"",93,19,NA,NA,NA,".","Matched (3)","RR","RR","USK","PBO",9,1,256,64,95,1,256,64,256,64,2007,"L"
"4","4","USK","PBO",2.99377340906866,0.446230304002454,200,511,5,255,0,FALSE,4,"PHOENIX1_2008","L",2008,0,766,45,531,20,"",93.5,20.5,726,492,424,"392","Matched (3)","RR","RR","USK","PBO",6,2,511,255,200,5,511,255,511,255,0.403506243622831,0.812888769067939,6,511,2,255,0,FALSE,4,"PHOENIX1_2008","L",2008,0,766,45,531,20,"",93.5,20.5,726,492,424,"392","Matched (3)","RR","RR","USK","PBO",6,2,511,255,200,5,511,255,511,255,2008,"L"
"5","5","PBO","USK",-4.15366113937852,0.576448261160607,3,410,382,820,0,FALSE,5,"PHOENIX2_2008","L",2008,0,1230,47,840,20,"",91,19.5,1173,829,688,"466","Matched (3)","RR","RR","PBO","USK",8,13,410,820,3,382,410,820,410,820,0.207639364778245,0.445269065103013,8,410,13,820,0,FALSE,5,"PHOENIX2_2008","L",2008,0,1230,47,840,20,"",91,19.5,1173,829,688,"466","Matched (3)","RR","RR","PBO","USK",8,13,410,820,3,382,410,820,410,820,2008,"L"
"6","6","USK","PBO",3.38466807971094,1.00013660269171,30,61,1,60,0,FALSE,6,"PEARL_2011","L",2011,0,121,41,103,13,"",74,24,118,101,86,"22","Matched (3)","RR","RR","USK","PBO",0,2,61,60,30,1,61,60,61,60,-1.62583172220978,1.53857431142553,0,61,2,60,0.5,FALSE,6,"PEARL_2011","L",2011,0,121,41,103,13,"",74,24,118,101,86,"22","Matched (3)","RR","RR","USK","PBO",0,2,61,60,30,1,61,60,61,60,2011,"L"
"7","7","SECU","PBO",4.15525043843499,1.4108516896689,63,118,0,59,0.5,FALSE,7,"FEATURE_2015","L",2014,0,177,46,117,19,"",92,21,NA,NA,88,"77","Matched (3)","RR","RR","SECU","PBO",4,1,118,59,63,0,118,59,118,59,0.693147180559945,1.106605743337,4,118,1,59,0,FALSE,7,"FEATURE_2015","L",2014,0,177,46,117,19,"",92,21,NA,NA,88,"77","Matched (3)","RR","RR","SECU","PBO",4,1,118,59,63,0,118,59,118,59,2014,"L"
"8","8","SECU","PBO",3.70104998973419,0.575696904289882,240,490,3,248,0,FALSE,8,"ERASURE_2014","L",2014,0,738,45,509,17.5,"30",89,22,NA,NA,361,"216","Matched (3)","RR","RR","SECU","PBO",10,4,490,248,240,3,490,248,490,248,0.235314086934465,0.586452833234654,10,490,4,248,0,FALSE,8,"ERASURE_2014","L",2014,0,738,45,509,17.5,"30",89,22,NA,NA,361,"216","Matched (3)","RR","RR","SECU","PBO",10,4,490,248,240,3,490,248,490,248,2014,"L"
"9","9","PBO","ETA",-2.59525470695687,0.456935885884634,5,326,67,326,0,FALSE,9,"FIXTURE_2014","L",2014,0,1306,44,929,16.5,"34",83,23.5,NA,NA,796,"163","Matched (3)","RR","RR","PBO","ETA",6,3,326,326,5,67,326,326,326,326,0.693147180559945,0.702755313515911,6,326,3,326,0,FALSE,9,"FIXTURE_2014","L",2014,0,1306,44,929,16.5,"34",83,23.5,NA,NA,796,"163","Matched (3)","RR","RR","PBO","ETA",6,3,326,326,5,67,326,326,326,326,2014,"L"
"10","9","PBO","SECU",-3.43735530528489,0.445655238446474,5,326,312,654,0,FALSE,9,"FIXTURE_2014","L",2014,0,1306,44,929,16.5,"34",83,23.5,NA,NA,796,"163","Matched (3)","RR","RR","PBO","SECU",6,11,326,654,5,312,326,654,326,654,0.0900741665201756,0.502970397663136,6,326,11,654,0,FALSE,9,"FIXTURE_2014","L",2014,0,1306,44,929,16.5,"34",83,23.5,NA,NA,796,"163","Matched (3)","RR","RR","PBO","SECU",6,11,326,654,5,312,326,654,326,654,2014,"L"
"11","9","ETA","SECU",-0.842100598328025,0.116335569320446,67,326,312,654,0,FALSE,9,"FIXTURE_2014","L",2014,0,1306,44,929,16.5,"34",83,23.5,NA,NA,796,"163","Matched (3)","RR","RR","ETA","SECU",3,11,326,654,67,312,326,654,326,654,-0.60307301403977,0.647800808576278,3,326,11,654,0,FALSE,9,"FIXTURE_2014","L",2014,0,1306,44,929,16.5,"34",83,23.5,NA,NA,796,"163","Matched (3)","RR","RR","ETA","SECU",3,11,326,654,67,312,326,654,326,654,2014,"L"
"12","10","SECU","PBO",1.45204573868267,0.997415017272839,20,103,1,22,0,FALSE,10,"Papp_2013a","H",2013,0,125,46,91,18,".",91,21,NA,84,77,"36","Matched (3)","RR","RR","SECU","PBO",3,2,103,22,20,1,103,22,103,22,-1.13822142676316,0.882139473107688,3,103,2,22,0,FALSE,10,"Papp_2013a","H",2013,0,125,46,91,18,".",91,21,NA,84,77,"36","Matched (3)","RR","RR","SECU","PBO",3,2,103,22,20,1,103,22,103,22,2013,"H"
"13","11","SECU","PBO",2.675069130187,0.997900745541466,73,337,1,67,0,FALSE,11,"Rich_2013","L",2013,0,404,44,306,17,".",NA,20.5,NA,263,292,"119","Matched (3)","RR","RR","SECU","PBO",12,1,337,67,73,1,337,67,337,67,0.869516338826605,1.03220182190721,12,337,1,67,0,FALSE,11,"Rich_2013","L",2013,0,404,44,306,17,".",NA,20.5,NA,263,292,"119","Matched (3)","RR","RR","SECU","PBO",12,1,337,67,73,1,337,67,337,67,2013,"L"
"14","14","MTX","CICLO",-0.763302167227074,0.559879498870233,4,41,9,43,0,FALSE,14,"Flystrom_2008","H",2007,0,84,46.5,55,NA,".",86,15,NA,58,8,"0","Matched (3)","RR","RR","MTX","CICLO",NA,NA,41,43,4,9,41,43,41,43,NA,NA,NA,41,NA,43,0,FALSE,14,"Flystrom_2008","H",2007,0,84,46.5,55,NA,".",86,15,NA,58,8,"0","Matched (3)","RR","RR","MTX","CICLO",NA,NA,41,43,4,9,41,43,41,43,2007,"H"
"15","15","CICLO","MTX",-0.194156014440958,0.291200198121139,14,44,17,44,0,FALSE,15,"Heydendael_2003","H",2003,0,88,42.5,57,NA,".",NA,13.5,NA,71,13,"na","Matched (3)","RR","RR","CICLO","MTX",NA,NA,44,44,14,17,44,44,44,44,NA,NA,NA,44,NA,44,0,FALSE,15,"Heydendael_2003","H",2003,0,88,42.5,57,NA,".",NA,13.5,NA,71,13,"na","Matched (3)","RR","RR","CICLO","MTX",NA,NA,44,44,14,17,44,44,44,44,2003,"H"
"16","17","IFX","PBO",3.78418963391826,0.994738498986114,172,301,1,77,0,FALSE,17,"EXPRESS_2005","L",2005,0,378,43,268,19,".",NA,23,NA,NA,NA,".","Matched (3)","RR","RR","IFX","PBO",17,2,301,77,172,1,301,77,301,77,0.776761320601079,0.736555671547331,17,301,2,77,0,FALSE,17,"EXPRESS_2005","L",2005,0,378,43,268,19,".",NA,23,NA,NA,NA,".","Matched (3)","RR","RR","IFX","PBO",17,2,301,77,172,1,301,77,301,77,2005,"L"
"17","18","PBO","IFX",-3.06444341521798,1.40421899499882,0,19,19,35,0.5,FALSE,18,"Torii_2010","M",2010,0,54,45,36,13,"25",69,32,54,36,NA,".","Matched (3)","RR","RR","PBO","IFX",1,1,19,35,0,19,19,35,19,35,0.610909082322973,1.38520648008923,1,19,1,35,0,FALSE,18,"Torii_2010","M",2010,0,54,45,36,13,"25",69,32,54,36,NA,".","Matched (3)","RR","RR","PBO","IFX",1,1,19,35,0,19,19,35,19,35,2010,"M"
"18","19","BRODA","PBO",3.75975010456442,1.40675819840813,89,160,0,38,0.5,FALSE,19,"Papp_2012a","L",2012,0,198,42.5,127,19,"30",90,19,187,110,141,"78","Matched (3)","RR","RR","BRODA","PBO",2,1,160,38,89,0,160,38,160,38,-0.744440474947496,1.2113769894324,2,160,1,38,0,FALSE,19,"Papp_2012a","L",2012,0,198,42.5,127,19,"30",90,19,187,110,141,"78","Matched (3)","RR","RR","BRODA","PBO",2,1,160,38,89,0,160,38,160,38,2012,"L"
