"","treatment","pscore","NA"
"1","ACI",0.950432933224144,0.290024005124667
"2","ADA",0.458108434005683,0.376852631938103
"3","APRE",0.693510250335652,0.554794135143345
"4","BIME",0.149373577988399,0.84565506289727
"5","BRODA",0.206907655459569,0.353447450902019
"6","CERTO",0.484321289140467,0.344229464949661
"7","CICLO",0.831200359339793,0.111798434656763
"8","ETA",0.657229954006692,0.612908708572357
"9","FUM",0.831416722101879,0.494682245348542
"10","GUSEL",0.232957581405496,0.484623289031558
"11","IFX",0.386835111660354,0.244619658707276
"12","IXE",0.144341868763145,0.43683085917315
"13","MIRI",0.536605090522097,0.653744395657988
"14","MTX",0.855159212420359,0.877878685122988
"15","PBO",0.998250851117586,0.405262612049963
"16","RISAN",0.105596712800993,0.717106945960174
"17","SECU",0.13561160593485,0.413018773159338
"18","TILDRA",0.391691293391929,0.611856901275868
"19","TOFA",0.627905988100419,0.569155589856798
"20","TYK2",0.436573571129402,0.623205689601887
"21","USK",0.385969937151091,0.478304460870286
