,Treatment,RR,CI_lower,CI_upper,se,WEIGHT,tau2,Reference,k,direct,direct_low,direct_up,indirect,indirect_low,indirect_up,p-value
0,ADA,1.628224335,1.428355319,1.856060918,0.066819592,14.96567055,0,ETA,0,,,,1.628224335,1.428358756,1.856056451,
1,APRE,0.7216821,0.422730459,1.232049978,0.272882639,3.664579039,0,ETA,1,0.705882353,0.359964832,1.384218269,0.74949166,0.310830631,1.8072149,0.915567782
2,BIME,2.84157971,2.504501767,3.224024577,0.06442363,15.52225486,0,ETA,0,,,,2.841579709,2.504507577,3.224017095,
3,BRODA,2.262709904,1.960784606,2.611126227,0.073070646,13.68538615,0,ETA,0,,,,2.262709904,1.960789766,2.611119356,
4,CERTO,1.246505711,0.945801557,1.642814474,0.140850361,7.099733297,0,ETA,1,1.196491228,0.895548188,1.598564185,1.867176816,0.751537252,4.638957355,0.361089391
5,CICLO,0.658169242,0.122384168,3.539565275,0.858314841,1.165073644,0,ETA,0,,,,0.658169243,0.122387951,3.539455862,
6,DEUCRAVA,1.313560335,0.185693316,9.29188403,0.998163301,1.001840078,0,ETA,0,,,,1.313560335,0.185699991,9.291549989,
7,FUM,0.408871936,0.184374679,0.906720279,0.406342861,2.46097593,0,ETA,0,,,,0.408871936,0.184377377,0.90670701,
8,GUSEL,2.262972938,2.014806612,2.54170623,0.059263363,16.87383146,0,ETA,0,,,,2.262972938,2.014810912,2.541700805,
9,IFX,4.705395391,1.938766179,11.42001858,0.452376544,2.210547859,0,ETA,1,9.199999999,1.275215037,66.37311946,3.973720789,1.47342474,10.71683981,0.456797106
10,IXE,2.834364262,2.544824087,3.156847191,0.054977622,18.18921885,0,ETA,2,2.912868137,2.534991594,3.347072553,2.719904513,2.293142908,3.226087887,0.541594179
11,MTX,0.651812779,0.131036246,3.242308242,0.81851194,1.221729276,0,ETA,0,,,,0.65181278,0.131040109,3.242212666,
12,NETA,0.421536311,0.190043497,0.935011533,0.406455583,2.460293431,0,ETA,0,,,,0.421536311,0.19004628,0.934997845,
13,PBO,0.093916391,0.078337262,0.112593781,0.092541607,10.8059502,0,ETA,14,0.085701667,0.059747477,0.122930308,0.096870242,0.078534928,0.119486246,0.565080148
14,RISAN,2.69879041,2.351824055,3.09694497,0.070210436,14.24289678,0,ETA,0,,,,2.698790411,2.351830004,3.096937139,
15,SECU,2.465405821,2.201611538,2.760807597,0.057738172,17.31956456,0,ETA,1,2.321237847,1.847968768,2.915712232,2.514438459,2.207139775,2.864522146,0.550765277
16,SONELO,2.386240085,1.855258945,3.069189753,0.128415644,7.787213233,0,ETA,0,,,,2.386240085,1.855267525,3.06917556,
17,TILDRA,1.742873407,1.390922758,2.18387951,0.115085588,8.689185299,0,ETA,1,1.760328792,1.391464123,2.226976177,1.553733519,0.699285954,3.452218416,0.768761931
18,USK,1.774513928,1.583382237,1.988717322,0.058144554,17.19851513,0,ETA,1,1.802090828,1.451966718,2.236643107,1.763993609,1.542547509,2.017230221,0.869187897
