,RR,TE_diamond,id,studlab,treat1,treat2,CI_lower,CI_upper,CI_lower_diamond,CI_upper_diamond,Predict_lo,Predict_up,WEIGHT,tau2,I2
0,0.6026216969,0.6026216969,1,BE SURE_2021,ADA,BIME,0.5149533495,0.7052151616,0.5149533495,0.7052151616,,,155.4237961247,,
1,0.9474946056,0.6888625654,2,Gordon_2015_X-PLORE,ADA,GUSEL,0.6570687033,1.3662894355000001,0.6282830514000001,0.7552832007,0.3791673837,1.2515096350000001,28.6700254612,2.2832e-06,0.3616197548
2,0.678485353,0.6888625654,2,VOYAGE-1_2016,ADA,GUSEL,0.5980976565,0.769677609,0.6282830514000001,0.7552832007,0.3791673837,1.2515096350000001,241.4157697004,2.2832e-06,0.3616197548
3,0.6685878962,0.6888625654,2,VOYAGE-2_2017,ADA,GUSEL,0.5784894011,0.7727190405000001,0.6282830514000001,0.7552832007,0.3791673837,1.2515096350000001,183.2700103739,2.2832e-06,0.3616197548
4,43.2995951422,15.5174518422,3,Asahina_2010,ADA,PBO,2.7313893322,686.4107278286,10.2465868675,23.499660403,6.6975353792,35.9522269078,0.4852337705,0.0730735703,0.0
5,16.1301775143,15.5174518422,3,Cai_2016,ADA,PBO,5.2841784878,49.2380466027,10.2465868675,23.499660403,6.6975353792,35.9522269078,2.5171593509,0.0730735703,0.0
6,6.6526867624,15.5174518422,3,Elewski_2016,ADA,PBO,3.1483830241,14.0574513393,10.2465868675,23.499660403,6.6975353792,35.9522269078,4.570932555,0.0730735703,0.0
7,38.6269430054,15.5174518422,3,Gordon_2006,ADA,PBO,2.4181497552,617.0175038615,10.2465868675,23.499660403,6.6975353792,35.9522269078,0.4826645544,0.0730735703,0.0
8,18.5581395357,15.5174518422,3,Gordon_2015_X-PLORE,ADA,PBO,2.599963095,132.4651660205,10.2465868675,23.499660403,6.6975353792,35.9522269078,0.9270935388,0.0730735703,0.0
9,19.8837018828,15.5174518422,3,REVEAL_2008,ADA,PBO,10.376583873,38.1013255808,10.2465868675,23.499660403,6.6975353792,35.9522269078,5.4592347049,0.0730735703,0.0
10,17.2958083839,15.5174518422,3,VOYAGE-1_2016,ADA,PBO,7.2421336985,41.3061951224,10.2465868675,23.499660403,6.6975353792,35.9522269078,3.6988195044000003,0.0730735703,0.0
11,19.3333333338,15.5174518422,3,VOYAGE-2_2017,ADA,PBO,8.6741281368,43.0911063223,10.2465868675,23.499660403,6.6975353792,35.9522269078,4.1615269989,0.0730735703,0.0
12,0.6540318686000001,0.6540318686000001,4,IMMvent_2019,ADA,RISAN,0.5700252969,0.7504187753,0.5700252969,0.7504187753,,,203.257502704,,
13,0.7058823529,0.7058823529,5,LIBERATE_2017,APRE,ETA,0.35996483160000003,1.3842182692,0.35996483160000003,1.3842182692,,,8.4702351197,,
14,27.5978647693,6.9546813624,6,ESTEEM-1_2015,APRE,PBO,3.8390143623,198.3952306377,3.3755706587,14.3287158658,2.1505056442,22.4912652446,0.9873068286000001,0.0,0.0
15,6.0218181819,6.9546813624,6,ESTEEM-2_2015,APRE,PBO,1.4440606755,25.111336962,3.3755706587,14.3287158658,2.1505056442,22.4912652446,1.8840058085,0.0,0.0
16,4.0481927712,6.9546813624,6,LIBERATE_2017,APRE,PBO,1.1853313883,13.825555347,3.3755706587,14.3287158658,2.1505056442,22.4912652446,2.5463842223,0.0,0.0
17,8.8941176472,6.9546813624,6,Ohtsuki_2017 Ê,APRE,PBO,1.2077471573,65.4982528796,3.3755706587,14.3287158658,2.1505056442,22.4912652446,0.9636061002,0.0,0.0
